temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,nivel_gas_metano_porcentaje
30.06,64.21,5.2,14603.16,2025-02-20,20:36:00,95.89,1,1.460316
25.87,68.94,5.27,1320.37,2025-02-20,20:40:00,95.68,1,0.132037
29.38,65.94,5.34,3459.62,2025-02-20,20:44:00,95.81,1,0.345962
30.5,67.26,5.4,6206.34,2025-02-20,20:48:00,96.51,1,0.620634
32.7,53.73,5.47,5546.08,2025-02-20,20:52:00,95.97,1,0.554608
28.67,55.52,5.54,2836.81,2025-02-20,20:56:00,95.26,1,0.283681
28.04,65.18,5.6,7539.18,2025-02-20,21:00:00,96.31,1,0.753918
28.61,60.98,5.67,3582.16,2025-02-20,21:04:00,96.61,1,0.358216
31.39,60.37,5.74,5264.96,2025-02-20,21:08:00,95.95,1,0.526496
30.17,64.01,5.8,7315.71,2025-02-20,21:12:00,96.09,1,0.731571
28.4,65.14,5.87,3724.3,2025-02-20,21:16:00,96.21,1,0.37243000000000004
30.42,71.63,5.94,8970.26,2025-02-20,21:20:00,94.72,1,0.897026
29.53,67.34,6.0,10100.87,2025-02-20,21:24:00,96.43,1,1.0100870000000002
31.21,64.69,6.07,2946.0,2025-02-20,21:28:00,96.0,1,0.2946
27.8,71.41,6.14,3579.57,2025-02-20,21:32:00,95.64,1,0.357957
28.48,61.59,6.2,2346.35,2025-02-20,21:36:00,95.28,1,0.23463499999999998
28.28,72.78,6.27,5199.23,2025-02-20,21:40:00,94.63,1,0.5199229999999999
26.06,70.53,6.34,6523.28,2025-02-20,21:44:00,95.08,1,0.652328
29.5,69.1,6.4,4026.25,2025-02-20,21:48:00,95.42,1,0.402625
29.35,60.61,6.47,6399.99,2025-02-20,21:52:00,94.6,1,0.639999
28.76,59.1,6.54,3520.88,2025-02-20,21:56:00,95.06,1,0.352088
28.19,71.8,6.6,3613.17,2025-02-20,22:00:00,94.46,1,0.361317
25.74,73.27,6.67,6775.59,2025-02-20,22:04:00,94.81,1,0.677559
27.64,64.03,6.74,3806.4,2025-02-20,22:08:00,94.27,1,0.38064000000000003
27.7,64.1,6.8,5014.62,2025-02-20,22:12:00,94.17,1,0.501462
26.69,75.6,6.87,6952.54,2025-02-20,22:16:00,95.02,1,0.695254
27.87,62.25,6.94,6351.89,2025-02-20,22:20:00,94.51,1,0.635189
28.9,74.87,7.0,3577.5,2025-02-20,22:24:00,94.5,1,0.35775
31.76,57.86,7.07,10832.74,2025-02-20,22:28:00,94.38,1,1.083274
28.23,70.85,7.14,7822.09,2025-02-20,22:32:00,96.01,1,0.782209
28.29,65.93,7.2,6274.43,2025-02-20,22:36:00,94.9,1,0.6274430000000001
27.51,71.75,7.27,2127.31,2025-02-20,22:40:00,94.9,1,0.212731
23.71,71.72,7.34,5715.57,2025-02-20,22:44:00,94.11,1,0.571557
27.38,68.12,7.4,3223.06,2025-02-20,22:48:00,94.7,1,0.322306
27.43,69.05,7.47,7448.12,2025-02-20,22:52:00,94.28,1,0.744812
32.12,56.81,7.54,373.53,2025-02-20,22:56:00,93.96,1,0.037353
26.69,73.67,7.6,4356.6,2025-02-20,23:00:00,95.26,1,0.43566000000000005
27.55,66.11,7.67,3479.88,2025-02-20,23:04:00,94.53,1,0.347988
26.75,68.73,7.74,9060.45,2025-02-20,23:08:00,94.46,1,0.9060450000000001
24.35,68.5,7.8,995.37,2025-02-20,23:12:00,93.66,1,0.099537
28.85,53.92,7.87,5473.41,2025-02-20,23:16:00,93.46,1,0.547341
27.93,67.15,7.94,7786.8,2025-02-20,23:20:00,94.02,1,0.77868
27.88,80.25,8.0,16488.89,2025-02-20,23:24:00,93.71,1,1.648889
24.34,77.42,8.07,3659.25,2025-02-20,23:28:00,94.25,1,0.365925
28.82,66.67,8.14,6669.99,2025-02-20,23:32:00,94.24,1,0.666999
23.07,74.07,8.2,1070.07,2025-02-20,23:36:00,93.88,1,0.10700699999999999
26.91,69.75,8.27,5288.65,2025-02-20,23:40:00,94.21,1,0.5288649999999999
29.97,67.78,8.34,11406.78,2025-02-20,23:44:00,93.84,1,1.140678
23.47,68.9,8.4,16607.28,2025-02-20,23:48:00,93.26,1,1.660728
24.17,79.32,8.47,7125.69,2025-02-20,23:52:00,93.55,1,0.712569
25.35,75.55,8.54,1370.2,2025-02-20,23:56:00,93.66,1,0.13702
23.99,77.6,8.6,12624.74,2025-02-21,00:00:00,94.01,1,1.2624739999999999
21.75,79.57,8.67,1385.98,2025-02-21,00:04:00,93.61,1,0.138598
24.83,72.85,8.74,2009.55,2025-02-21,00:08:00,93.16,1,0.200955
22.42,79.74,8.8,13334.85,2025-02-21,00:12:00,93.88,1,1.333485
25.33,74.96,8.87,5035.76,2025-02-21,00:16:00,93.54,1,0.503576
22.39,74.65,8.94,3380.83,2025-02-21,00:20:00,94.07,1,0.33808299999999997
27.17,66.38,9.0,8561.2,2025-02-21,00:24:00,93.29,1,0.8561200000000001
22.34,77.0,9.07,6003.86,2025-02-21,00:28:00,92.68,1,0.600386
23.1,83.09,9.14,10770.84,2025-02-21,00:32:00,93.74,1,1.077084
25.21,65.99,9.2,6206.27,2025-02-21,00:36:00,92.81,1,0.620627
20.96,71.22,9.27,6309.15,2025-02-21,00:40:00,93.19,1,0.630915
23.71,75.26,9.34,10528.12,2025-02-21,00:44:00,93.09,1,1.052812
25.7,71.7,9.4,5005.84,2025-02-21,00:48:00,92.97,1,0.500584
19.71,81.3,9.47,2644.78,2025-02-21,00:52:00,92.81,1,0.26447800000000005
23.13,76.53,9.54,8913.84,2025-02-21,00:56:00,92.02,1,0.8913840000000001
23.11,74.22,9.6,4313.19,2025-02-21,01:00:00,92.3,1,0.43131899999999995
23.98,81.48,9.67,6576.06,2025-02-21,01:04:00,93.31,1,0.657606
19.78,72.33,9.74,934.74,2025-02-21,01:08:00,92.91,1,0.093474
19.44,76.7,9.8,4873.18,2025-02-21,01:12:00,93.6,1,0.48731800000000003
22.95,75.06,9.87,3603.71,2025-02-21,01:16:00,92.08,1,0.360371
22.33,68.29,9.94,918.67,2025-02-21,01:20:00,92.53,1,0.09186699999999999
22.07,76.02,10.01,4993.1,2025-02-21,01:24:00,93.08,1,0.49931000000000003
22.08,85.18,10.07,5118.46,2025-02-21,01:28:00,92.16,1,0.511846
19.86,80.32,10.14,6926.47,2025-02-21,01:32:00,92.15,1,0.692647
21.51,78.89,10.21,11351.24,2025-02-21,01:36:00,92.2,1,1.135124
21.46,71.51,10.27,10180.23,2025-02-21,01:40:00,92.07,1,1.018023
19.27,78.01,10.34,3816.47,2025-02-21,01:44:00,92.51,1,0.38164699999999996
24.25,71.74,10.41,6144.4,2025-02-21,01:48:00,91.31,1,0.61444
21.3,76.47,10.47,7632.53,2025-02-21,01:52:00,92.97,1,0.763253
17.79,89.72,10.54,3906.93,2025-02-21,01:56:00,91.62,1,0.39069299999999996
21.31,80.82,10.61,1571.09,2025-02-21,02:00:00,90.99,1,0.157109
17.88,77.63,10.67,4635.49,2025-02-21,02:04:00,91.99,1,0.463549
21.23,79.39,10.74,11682.97,2025-02-21,02:08:00,91.76,1,1.168297
21.79,79.8,10.81,1516.2,2025-02-21,02:12:00,91.81,1,0.15162
17.66,89.21,10.87,2481.53,2025-02-21,02:16:00,92.0,1,0.248153
21.06,86.32,10.94,2926.03,2025-02-21,02:20:00,92.12,1,0.292603
19.78,75.25,11.01,2509.31,2025-02-21,02:24:00,92.59,1,0.250931
20.43,75.31,11.07,8664.34,2025-02-21,02:28:00,91.35,1,0.866434
22.4,70.11,11.14,3353.04,2025-02-21,02:32:00,92.03,1,0.335304
17.94,81.91,11.21,8824.57,2025-02-21,02:36:00,91.95,1,0.8824569999999999
16.76,87.2,11.27,5596.49,2025-02-21,02:40:00,90.23,1,0.559649
16.31,90.47,11.34,1253.74,2025-02-21,02:44:00,91.08,1,0.125374
16.29,85.19,11.41,4004.1,2025-02-21,02:48:00,90.8,1,0.40041
17.6,82.01,11.47,10425.63,2025-02-21,02:52:00,91.62,1,1.042563
18.26,83.36,11.54,6055.25,2025-02-21,02:56:00,91.51,1,0.605525
17.97,78.88,11.61,4241.74,2025-02-21,03:00:00,91.47,1,0.424174
18.9,92.1,11.67,11809.34,2025-02-21,03:04:00,91.09,1,1.180934
17.1,76.31,11.74,2322.08,2025-02-21,03:08:00,91.09,1,0.232208
19.82,81.2,11.81,3472.71,2025-02-21,03:12:00,91.13,1,0.347271
16.22,95.8,11.87,9806.79,2025-02-21,03:16:00,90.89,1,0.9806790000000001
22.02,77.0,11.94,8578.11,2025-02-21,03:20:00,91.43,1,0.8578110000000001
17.67,82.55,12.01,2180.84,2025-02-21,03:24:00,90.46,1,0.21808400000000003
14.54,86.4,12.07,7517.67,2025-02-21,03:28:00,90.55,1,0.751767
13.95,88.17,12.14,3348.54,2025-02-21,03:32:00,90.96,1,0.334854
16.9,91.52,12.21,967.72,2025-02-21,03:36:00,90.66,1,0.096772
15.33,75.95,12.27,4329.1,2025-02-21,03:40:00,90.24,1,0.43291
17.04,92.1,12.34,17441.21,2025-02-21,03:44:00,91.01,1,1.7441209999999998
16.41,78.27,12.41,10579.03,2025-02-21,03:48:00,90.41,1,1.057903
15.16,85.93,12.47,5286.5,2025-02-21,03:52:00,90.22,1,0.52865
13.46,87.67,12.54,1504.9,2025-02-21,03:56:00,90.51,1,0.15049
11.97,94.99,12.61,1006.06,2025-02-21,04:00:00,90.1,1,0.100606
13.96,81.07,12.67,16033.86,2025-02-21,04:04:00,90.48,1,1.603386
16.41,87.69,12.74,7212.32,2025-02-21,04:08:00,90.27,1,0.721232
14.98,97.65,12.81,8796.85,2025-02-21,04:12:00,90.14,1,0.879685
11.92,85.31,12.87,8141.0,2025-02-21,04:16:00,90.09,1,0.8141
14.61,89.03,12.94,8609.51,2025-02-21,04:20:00,90.79,1,0.860951
14.89,84.35,13.01,6637.34,2025-02-21,04:24:00,90.43,1,0.663734
12.21,93.81,13.07,11696.54,2025-02-21,04:28:00,89.34,1,1.1696540000000002
14.15,88.87,13.14,3720.78,2025-02-21,04:32:00,90.59,1,0.372078
13.82,86.06,13.21,5621.81,2025-02-21,04:36:00,90.35,1,0.562181
11.29,95.51,13.27,1330.35,2025-02-21,04:40:00,90.27,1,0.133035
14.15,97.79,13.34,3669.59,2025-02-21,04:44:00,90.44,1,0.36695900000000004
14.43,87.4,13.41,10427.8,2025-02-21,04:48:00,89.95,1,1.0427799999999998
15.35,90.58,13.47,8447.75,2025-02-21,04:52:00,90.2,1,0.844775
15.16,80.79,13.54,799.0,2025-02-21,04:56:00,89.61,1,0.0799
10.17,89.96,13.61,18322.11,2025-02-21,05:00:00,90.22,1,1.832211
10.93,95.97,13.67,6146.33,2025-02-21,05:04:00,89.85,1,0.614633
13.72,96.85,13.74,6229.15,2025-02-21,05:08:00,89.01,1,0.622915
13.6,91.38,13.81,3514.76,2025-02-21,05:12:00,90.16,1,0.351476
13.48,88.21,13.87,4111.99,2025-02-21,05:16:00,89.53,1,0.411199
20.05,79.93,13.94,6109.12,2025-02-21,05:20:00,89.41,1,0.610912
13.37,83.69,14.01,8151.95,2025-02-21,05:24:00,89.27,1,0.815195
14.39,91.44,14.07,6892.06,2025-02-21,05:28:00,89.26,1,0.689206
13.92,93.53,14.14,3737.81,2025-02-21,05:32:00,89.51,1,0.373781
13.21,87.92,14.21,2792.81,2025-02-21,05:36:00,88.85,1,0.279281
11.18,90.88,14.27,2653.47,2025-02-21,05:40:00,88.51,1,0.265347
13.23,91.49,14.34,10995.76,2025-02-21,05:44:00,88.71,1,1.099576
10.07,92.71,14.41,10152.65,2025-02-21,05:48:00,89.39,1,1.0152649999999999
11.05,93.1,14.47,7677.52,2025-02-21,05:52:00,89.06,1,0.767752
10.46,100.0,14.54,10951.88,2025-02-21,05:56:00,89.65,1,1.0951879999999998
11.5,91.51,14.61,5078.48,2025-02-21,06:00:00,89.01,1,0.507848
15.88,84.38,14.67,9599.72,2025-02-21,06:04:00,89.42,1,0.9599719999999999
7.44,95.61,14.74,7953.91,2025-02-21,06:08:00,88.6,1,0.795391
12.46,95.03,14.81,9774.23,2025-02-21,06:12:00,88.68,1,0.9774229999999999
7.79,97.41,14.87,2476.7,2025-02-21,06:16:00,88.85,1,0.24766999999999997
9.99,91.76,14.94,6645.49,2025-02-21,06:20:00,88.72,1,0.664549
13.04,97.04,15.01,4323.33,2025-02-21,06:24:00,88.62,1,0.43233299999999997
10.92,100.0,15.07,955.17,2025-02-21,06:28:00,88.26,1,0.09551699999999999
8.57,94.14,15.14,12176.27,2025-02-21,06:32:00,87.85,1,1.217627
9.23,86.82,15.21,10201.12,2025-02-21,06:36:00,88.91,1,1.0201120000000001
11.96,97.09,15.27,7056.23,2025-02-21,06:40:00,88.8,1,0.705623
9.08,92.95,15.34,2966.31,2025-02-21,06:44:00,88.19,1,0.296631
10.92,97.57,15.41,1365.58,2025-02-21,06:48:00,88.63,1,0.13655799999999998
10.53,84.36,15.47,1724.44,2025-02-21,06:52:00,88.31,1,0.17244400000000001
9.08,100.0,15.54,3732.03,2025-02-21,06:56:00,88.9,1,0.373203
14.63,82.0,15.61,8793.59,2025-02-21,07:00:00,87.64,1,0.879359
11.56,96.31,15.67,4381.27,2025-02-21,07:04:00,88.18,1,0.43812700000000004
6.21,100.0,15.74,7788.25,2025-02-21,07:08:00,88.09,1,0.778825
10.59,89.34,15.81,8049.29,2025-02-21,07:12:00,88.22,1,0.804929
8.86,94.67,15.87,8719.62,2025-02-21,07:16:00,88.86,1,0.8719620000000001
11.86,95.65,15.94,1222.55,2025-02-21,07:20:00,87.98,1,0.12225499999999999
8.54,97.72,16.01,3193.26,2025-02-21,07:24:00,88.37,1,0.319326
9.87,98.12,16.07,7705.4,2025-02-21,07:28:00,87.87,1,0.77054
11.08,100.0,16.14,13930.75,2025-02-21,07:32:00,88.43,1,1.393075
11.79,84.5,16.21,11512.99,2025-02-21,07:36:00,88.22,1,1.151299
7.64,100.0,16.27,6849.15,2025-02-21,07:40:00,87.63,1,0.6849149999999999
9.36,96.49,16.34,12304.66,2025-02-21,07:44:00,87.54,1,1.230466
9.06,91.91,16.41,6818.98,2025-02-21,07:48:00,87.94,1,0.681898
8.7,90.3,16.47,1694.58,2025-02-21,07:52:00,87.32,1,0.169458
13.53,88.76,16.54,8647.71,2025-02-21,07:56:00,87.69,1,0.864771
10.81,98.39,16.61,11783.51,2025-02-21,08:00:00,87.37,1,1.178351
7.48,98.14,16.68,16752.38,2025-02-21,08:04:00,87.68,1,1.675238
11.84,99.79,16.74,3701.05,2025-02-21,08:08:00,87.36,1,0.370105
14.26,81.36,16.81,2355.73,2025-02-21,08:12:00,87.05,1,0.235573
12.09,91.81,16.88,9700.66,2025-02-21,08:16:00,87.9,1,0.970066
7.0,93.24,16.94,7433.72,2025-02-21,08:20:00,87.41,1,0.743372
9.09,98.19,17.01,6996.87,2025-02-21,08:24:00,87.22,1,0.699687
12.61,95.52,17.08,12442.82,2025-02-21,08:28:00,87.4,1,1.2442819999999999
8.68,94.87,17.14,9686.06,2025-02-21,08:32:00,86.31,1,0.968606
11.01,80.46,17.21,22446.05,2025-02-21,08:36:00,88.14,1,2.244605
11.7,93.44,17.28,4065.96,2025-02-21,08:40:00,87.06,1,0.406596
8.33,99.69,17.34,9190.15,2025-02-21,08:44:00,86.01,1,0.9190149999999999
10.1,96.87,17.41,2306.65,2025-02-21,08:48:00,87.54,1,0.230665
3.77,100.0,17.48,6845.93,2025-02-21,08:52:00,86.52,1,0.684593
8.25,92.27,17.54,5527.58,2025-02-21,08:56:00,87.37,1,0.552758
9.84,98.65,17.61,1678.04,2025-02-21,09:00:00,86.85,1,0.167804
7.89,100.0,17.68,7475.59,2025-02-21,09:04:00,85.96,1,0.747559
13.7,80.55,17.74,3744.43,2025-02-21,09:08:00,86.82,1,0.37444299999999997
7.63,100.0,17.81,7360.97,2025-02-21,09:12:00,86.74,1,0.736097
9.66,92.98,17.88,2803.06,2025-02-21,09:16:00,87.17,1,0.280306
10.86,93.3,17.94,9778.89,2025-02-21,09:20:00,86.8,1,0.9778889999999999
13.55,91.42,18.01,15391.57,2025-02-21,09:24:00,85.87,1,1.5391569999999999
7.86,95.78,18.08,2332.28,2025-02-21,09:28:00,86.94,1,0.23322800000000002
13.12,86.94,18.14,2810.41,2025-02-21,09:32:00,86.19,1,0.281041
10.89,93.84,18.21,2060.94,2025-02-21,09:36:00,87.2,1,0.206094
8.97,91.1,18.28,4901.24,2025-02-21,09:40:00,86.12,1,0.490124
11.94,86.67,18.34,7305.92,2025-02-21,09:44:00,86.14,1,0.730592
11.49,96.16,18.41,8869.62,2025-02-21,09:48:00,85.78,1,0.886962
9.97,89.3,18.48,6793.74,2025-02-21,09:52:00,85.89,1,0.679374
11.39,96.24,18.54,8700.0,2025-02-21,09:56:00,85.71,1,0.87
10.57,96.46,18.61,5433.36,2025-02-21,10:00:00,86.63,1,0.5433359999999999
11.66,83.89,18.68,3748.19,2025-02-21,10:04:00,85.33,1,0.374819
12.84,87.35,18.74,2884.16,2025-02-21,10:08:00,86.35,1,0.288416
14.79,93.79,18.81,5047.45,2025-02-21,10:12:00,86.31,1,0.504745
9.23,91.24,18.88,2940.32,2025-02-21,10:16:00,86.53,1,0.294032
16.07,83.57,18.94,7184.46,2025-02-21,10:20:00,85.81,1,0.718446
8.01,100.0,19.01,2979.38,2025-02-21,10:24:00,85.23,1,0.29793800000000004
11.71,96.35,19.08,4054.36,2025-02-21,10:28:00,85.61,1,0.405436
13.3,88.8,19.14,11139.65,2025-02-21,10:32:00,85.94,1,1.1139649999999999
12.79,87.83,19.21,11825.14,2025-02-21,10:36:00,85.64,1,1.1825139999999998
11.09,100.0,19.28,11593.05,2025-02-21,10:40:00,85.73,1,1.159305
12.04,100.0,19.34,5522.49,2025-02-21,10:44:00,86.18,1,0.552249
11.58,97.52,19.41,3883.11,2025-02-21,10:48:00,85.73,1,0.388311
11.51,93.16,19.48,7931.72,2025-02-21,10:52:00,85.49,1,0.793172
14.51,84.2,19.54,3043.92,2025-02-21,10:56:00,84.42,1,0.304392
13.64,85.38,19.61,9197.37,2025-02-21,11:00:00,84.9,1,0.919737
11.67,95.11,19.68,3652.71,2025-02-21,11:04:00,85.04,1,0.365271
14.98,89.62,19.74,4939.7,2025-02-21,11:08:00,84.2,1,0.49396999999999996
13.92,96.12,19.81,9336.37,2025-02-21,11:12:00,84.59,1,0.933637
15.07,90.65,19.88,1488.91,2025-02-21,11:16:00,84.96,1,0.148891
14.83,80.24,19.94,3771.95,2025-02-21,11:20:00,84.99,1,0.377195
12.05,97.19,20.01,7325.62,2025-02-21,11:24:00,85.25,1,0.7325619999999999
12.72,85.93,20.08,8374.51,2025-02-21,11:28:00,84.84,1,0.8374510000000001
15.48,84.87,20.14,7519.94,2025-02-21,11:32:00,85.02,1,0.7519939999999999
15.34,88.24,20.21,4915.28,2025-02-21,11:36:00,84.63,1,0.49152799999999996
14.22,98.64,20.28,9959.87,2025-02-21,11:40:00,84.81,1,0.9959870000000001
14.64,100.0,20.34,2876.81,2025-02-21,11:44:00,84.97,1,0.287681
17.11,87.37,20.41,2794.42,2025-02-21,11:48:00,85.43,1,0.279442
13.52,88.81,20.48,7296.53,2025-02-21,11:52:00,84.38,1,0.729653
15.94,88.76,20.54,2665.37,2025-02-21,11:56:00,84.66,1,0.26653699999999997
14.6,92.54,20.61,15823.01,2025-02-21,12:00:00,84.98,1,1.582301
14.72,86.32,20.68,3874.94,2025-02-21,12:04:00,83.77,1,0.387494
17.5,92.72,20.74,9859.51,2025-02-21,12:08:00,85.44,1,0.985951
17.11,85.48,20.81,2370.84,2025-02-21,12:12:00,84.98,1,0.23708400000000002
17.24,86.62,20.88,13779.1,2025-02-21,12:16:00,83.49,1,1.37791
18.38,85.75,20.94,5840.39,2025-02-21,12:20:00,84.48,1,0.5840390000000001
15.97,88.15,21.01,3815.45,2025-02-21,12:24:00,83.96,1,0.38154499999999997
17.46,88.01,21.08,4718.87,2025-02-21,12:28:00,83.99,1,0.471887
15.63,83.46,21.14,3415.97,2025-02-21,12:32:00,84.32,1,0.341597
17.06,81.61,21.21,4985.53,2025-02-21,12:36:00,84.62,1,0.49855299999999997
16.32,80.02,21.28,2484.46,2025-02-21,12:40:00,83.81,1,0.248446
16.94,86.79,21.34,3911.93,2025-02-21,12:44:00,83.77,1,0.39119299999999996
18.1,86.74,21.41,9764.83,2025-02-21,12:48:00,84.13,1,0.976483
15.44,89.13,21.48,6661.35,2025-02-21,12:52:00,84.18,1,0.666135
21.43,86.23,21.54,2881.99,2025-02-21,12:56:00,83.34,1,0.288199
15.4,86.87,21.61,5116.14,2025-02-21,13:00:00,84.65,1,0.511614
15.15,90.62,21.68,12003.51,2025-02-21,13:04:00,83.42,1,1.200351
20.07,74.44,21.74,4238.09,2025-02-21,13:08:00,84.17,1,0.423809
19.5,78.81,21.81,2693.39,2025-02-21,13:12:00,83.87,1,0.269339
19.34,84.47,21.88,8246.11,2025-02-21,13:16:00,83.89,1,0.8246110000000001
