temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,ID
25.82,53.09,0.71,2047.5,4/28/2025,12:58:42,81.82,1,26134
25.8,53.04,0.71,2047.5,4/28/2025,12:58:54,81.74,1,26135
25.81,53.02,0.72,2047.5,4/28/2025,12:59:06,81.65,1,26136
25.82,52.98,0.72,2047.5,4/28/2025,12:59:17,81.57,1,26137
25.82,52.91,0.72,2047.5,4/28/2025,12:59:29,81.49,1,26138
25.82,53.12,0.73,2047.5,4/28/2025,12:59:45,81.37,1,26139
25.83,53.02,0.73,2047.5,4/28/2025,12:59:56,81.3,1,26140
25.83,52.98,0.73,2047.5,4/28/2025,13:00:08,81.21,1,26141
25.83,53.05,0.74,2047.5,4/28/2025,13:00:20,81.13,1,26142
25.84,52.9,0.74,2047.5,4/28/2025,13:00:32,81.04,1,26143
25.85,52.75,0.74,2047.5,4/28/2025,13:00:47,80.93,1,26144
25.84,52.81,0.75,2047.5,4/28/2025,13:00:59,80.85,1,26145
25.84,52.93,0.75,2047.5,4/28/2025,13:01:10,80.77,1,26146
25.85,52.81,0.75,2047.5,4/28/2025,13:01:22,80.68,1,26147
25.87,52.77,0.76,2047.5,4/28/2025,13:01:34,80.6,1,26148
25.85,52.95,0.76,2047.5,4/28/2025,13:01:46,80.51,1,26149
25.85,52.95,0.76,2047.5,4/28/2025,13:01:58,80.43,1,26150
25.86,52.96,0.77,2047.5,4/28/2025,13:02:09,80.35,1,26151
25.85,53.06,0.77,2047.5,4/28/2025,13:02:21,80.26,1,26152
25.85,52.93,0.77,2047.5,4/28/2025,13:02:33,80.18,1,26153
25.83,52.46,0.78,2047.5,4/28/2025,13:02:44,80.1,1,26154
25.82,52.53,0.78,2047.5,4/28/2025,13:02:58,80,1,26155
25.79,53.03,0.78,2047.5,4/28/2025,13:03:10,79.91,1,26156
25.79,53.09,0.79,2043.5,4/28/2025,13:03:22,79.83,1,26157
25.78,53.11,0.79,2047.5,4/28/2025,13:03:33,79.75,1,26158
25.79,52.78,0.79,2047.5,4/28/2025,13:03:45,79.67,1,26159
25.79,53.1,0.8,2041,4/28/2025,13:03:57,79.58,1,26160
25.77,52.68,0.8,2047.5,4/28/2025,13:04:08,79.5,1,26161
25.77,53.12,0.8,2047.5,4/28/2025,13:04:20,79.42,1,26162
25.76,53.11,0.81,2047.5,4/28/2025,13:04:32,79.33,1,26163
25.76,53.09,0.81,2047.5,4/28/2025,13:04:43,79.25,1,26164
25.75,52.94,0.81,2047.5,4/28/2025,13:04:55,79.17,1,26165
25.74,52.13,0.82,2047.5,4/28/2025,13:05:07,79.08,1,26166
25.74,52.68,0.82,2039.5,4/28/2025,13:05:18,79,1,26167
25.73,52.89,0.82,2042.5,4/28/2025,13:05:30,78.92,1,26168
25.74,52.8,0.83,2029.5,4/28/2025,13:05:42,78.83,1,26169
25.65,51.87,0.83,2047.5,4/28/2025,13:05:53,78.75,1,26170
25.63,52.77,0.83,2023.5,4/28/2025,13:06:05,78.67,1,26171
25.62,52.87,0.84,2047.5,4/28/2025,13:06:17,78.58,1,26172
25.62,52.56,0.84,2047.5,4/28/2025,13:06:29,78.5,1,26173
25.58,52.64,0.84,2047.5,4/28/2025,13:06:40,78.42,1,26174
25.55,52.98,0.84,2047.5,4/28/2025,13:06:52,78.33,1,26175
25.57,53.03,0.85,2047.5,4/28/2025,13:07:03,78.25,1,26176
25.56,52.96,0.85,2047.5,4/28/2025,13:07:15,78.17,1,26177
25.55,52.83,0.85,2047.5,4/28/2025,13:07:27,78.08,1,26178
25.57,52.78,0.86,2043,4/28/2025,13:07:38,78.01,1,26179
25.56,53.19,0.86,2033,4/28/2025,13:07:50,77.92,1,26180
25.52,52.8,0.86,2047.5,4/28/2025,13:08:02,77.83,1,26181
25.29,53.33,0.87,2047.5,4/28/2025,13:08:14,77.75,1,26182
25.34,53.5,0.87,2047.5,4/28/2025,13:08:25,77.67,1,26183
25.37,53.59,0.87,2047.5,4/28/2025,13:08:37,77.59,1,26184
25.4,53.59,0.88,2047.5,4/28/2025,13:08:49,77.5,1,26185
25.42,53.55,0.88,2047.5,4/28/2025,13:09:00,77.42,1,26186
25.42,53.6,0.88,2033.5,4/28/2025,13:09:12,77.34,1,26187
25.41,53.73,0.89,2047.5,4/28/2025,13:09:24,77.25,1,26188
25.44,53.8,0.89,2047.5,4/28/2025,13:09:36,77.17,1,26189
25.47,53.84,0.89,2047.5,4/28/2025,13:09:47,77.09,1,26190
25.51,53.71,0.9,2047.5,4/28/2025,13:09:59,77,1,26191
25.54,53.71,0.9,2047.5,4/28/2025,13:10:11,76.92,1,26192
25.56,53.73,0.9,2035.5,4/28/2025,13:10:23,76.83,1,26193
25.57,53.88,0.91,2047.5,4/28/2025,13:10:35,76.75,1,26194
25.53,53.59,0.91,2047.5,4/28/2025,13:10:46,76.67,1,26195
25.56,54,0.91,2047.5,4/28/2025,13:10:58,76.58,1,26196
25.59,53.93,0.92,2047.5,4/28/2025,13:11:10,76.5,1,26197
25.58,53.92,0.92,2047.5,4/28/2025,13:11:21,76.42,1,26198
25.61,53.88,0.92,2047.5,4/28/2025,13:11:33,76.33,1,26199
25.63,53.83,0.93,2047.5,4/28/2025,13:11:45,76.25,1,26200
25.66,53.76,0.93,2047.5,4/28/2025,13:11:59,76.15,1,26201
25.69,53.75,0.93,2047.5,4/28/2025,13:12:11,76.06,1,26202
25.71,53.71,0.94,2047.5,4/28/2025,13:12:23,75.98,1,26203
25.74,53.69,0.94,2047.5,4/28/2025,13:12:35,75.89,1,26204
25.74,53.69,0.94,2047.5,4/28/2025,13:12:46,75.81,1,26205
25.71,53.88,0.95,2047.5,4/28/2025,13:12:58,75.73,1,26206
25.7,53.83,0.95,2038.5,4/28/2025,13:13:10,75.64,1,26207
25.7,53.88,0.95,2047.5,4/28/2025,13:13:22,75.56,1,26208
25.74,53.91,0.96,2047.5,4/28/2025,13:13:33,75.48,1,26209
25.76,53.92,0.96,2047.5,4/28/2025,13:13:45,75.39,1,26210
25.77,53.89,0.96,2047.5,4/28/2025,13:13:57,75.31,1,26211
25.78,53.88,0.97,2047.5,4/28/2025,13:14:09,75.22,1,26212
25.8,53.83,0.97,2047.5,4/28/2025,13:14:20,75.14,1,26213
25.77,53.78,0.97,2047.5,4/28/2025,13:14:32,75.06,1,26214
25.81,53.91,0.98,2047.5,4/28/2025,13:14:44,74.97,1,26215
25.83,53.87,0.98,2047.5,4/28/2025,13:14:56,74.89,1,26216
25.85,53.8,0.98,2047.5,4/28/2025,13:15:07,74.81,1,26217
25.85,53.79,0.99,2047.5,4/28/2025,13:15:19,74.72,1,26218
25.86,53.81,0.99,2047.5,4/28/2025,13:15:31,74.64,1,26219
25.86,53.8,0.99,2047.5,4/28/2025,13:15:43,74.55,1,26220
25.86,53.81,1,2047.5,4/28/2025,13:15:54,74.47,1,26221
25.87,53.79,1,2047.5,4/28/2025,13:16:06,74.39,1,26222
25.88,53.74,1,2047.5,4/28/2025,13:16:18,74.3,1,26223
25.89,53.71,1.01,2047.5,4/28/2025,13:16:30,74.22,1,26224
25.89,53.55,1.01,2027.5,4/28/2025,13:16:42,74.13,1,26225
25.89,53.8,1.01,2047.5,4/28/2025,13:16:53,74.05,1,26226
25.89,53.72,1.02,2047.5,4/28/2025,13:17:05,73.97,1,26227
25.87,53.73,1.02,2047.5,4/28/2025,13:17:17,73.88,1,26228
25.88,53.73,1.02,2047.5,4/28/2025,13:17:28,73.8,1,26229
25.87,53.73,1.02,2042.5,4/28/2025,13:17:40,73.72,1,26230
25.87,53.72,1.03,2047.5,4/28/2025,13:17:52,73.63,1,26231
25.88,53.75,1.03,2047.5,4/28/2025,13:18:03,73.55,1,26232
25.88,53.7,1.03,2047.5,4/28/2025,13:18:15,73.47,1,26233
25.88,53.71,1.04,2047.5,4/28/2025,13:18:27,73.38,1,26234
25.92,53.71,1.04,2047.5,4/28/2025,13:18:39,73.3,1,26235
25.92,53.68,1.04,2047.5,4/28/2025,13:18:51,73.21,1,26236
25.93,53.7,1.05,2047.5,4/28/2025,13:19:02,73.13,1,26237
25.93,53.75,1.05,2044.5,4/28/2025,13:19:14,73.05,1,26238
25.94,53.73,1.05,2040,4/28/2025,13:19:26,72.96,1,26239
25.95,53.79,1.06,2026.5,4/28/2025,13:19:38,72.88,1,26240
25.96,53.82,1.06,2018,4/28/2025,13:19:49,72.8,1,26241
25.96,53.8,1.06,2021.5,4/28/2025,13:20:01,72.71,1,26242
25.95,53.85,1.07,2015,4/28/2025,13:20:13,72.63,1,26243
25.95,53.86,1.07,2030.5,4/28/2025,13:20:24,72.55,1,26244
25.96,53.86,1.07,2037.5,4/28/2025,13:20:36,72.46,1,26245
25.96,53.92,1.08,2024.5,4/28/2025,13:20:50,72.36,1,26246
25.96,53.93,1.08,2034,4/28/2025,13:21:02,72.28,1,26247
26,53.94,1.09,2040,4/28/2025,13:21:22,72.14,1,26248
26.01,53.94,1.09,2041.5,4/28/2025,13:21:34,72.05,1,26249
25.99,53.88,1.09,2040,4/28/2025,13:21:46,71.97,1,26250
25.99,53.89,1.1,2044.5,4/28/2025,13:21:58,71.88,1,26251
26,53.9,1.1,2040,4/28/2025,13:22:10,71.79,1,26252
25.99,53.83,1.1,2043.5,4/28/2025,13:22:21,71.72,1,26253
25.99,53.81,1.11,2045.5,4/28/2025,13:22:33,71.63,1,26254
25.99,53.81,1.11,2047.5,4/28/2025,13:22:45,71.55,1,26255
26,53.83,1.11,2047.5,4/28/2025,13:22:57,71.46,1,26256
25.99,53.84,1.12,2047.5,4/28/2025,13:23:08,71.38,1,26257
26.01,53.85,1.12,2047.5,4/28/2025,13:23:20,71.3,1,26258
26,53.92,1.12,2047.5,4/28/2025,13:23:32,71.21,1,26259
26.01,53.94,1.13,2047.5,4/28/2025,13:23:43,71.13,1,26260
26.02,53.93,1.13,2047.5,4/28/2025,13:23:55,71.05,1,26261
26.01,53.98,1.13,2047.5,4/28/2025,13:24:12,70.93,1,26262
26.02,53.92,1.14,2047.5,4/28/2025,13:24:24,70.84,1,26263
26.04,53.95,1.14,2047.5,4/28/2025,13:24:36,70.75,1,26264
26.02,53.98,1.14,2047.5,4/28/2025,13:24:47,70.68,1,26265
26.03,53.96,1.15,2047.5,4/28/2025,13:24:59,70.59,1,26266
26.04,53.87,1.15,2047.5,4/28/2025,13:25:10,70.51,1,26267
26.05,53.85,1.15,2047.5,4/28/2025,13:25:22,70.43,1,26268
26.03,53.85,1.16,2047.5,4/28/2025,13:25:34,70.34,1,26269
26.03,53.89,1.16,2047.5,4/28/2025,13:25:45,70.26,1,26270
26.04,53.9,1.16,2047.5,4/28/2025,13:25:57,70.18,1,26271
26.04,53.88,1.17,2047.5,4/28/2025,13:26:09,70.09,1,26272
26.03,53.83,1.17,2047.5,4/28/2025,13:26:21,70.01,1,26273
26.04,53.75,1.17,2047.5,4/28/2025,13:26:33,69.92,1,26274
26.04,53.66,1.18,2047.5,4/28/2025,13:26:44,69.84,1,26275
26.02,53.72,1.18,2047.5,4/28/2025,13:26:56,69.76,1,26276
26.04,53.67,1.18,2047.5,4/28/2025,13:27:08,69.67,1,26277
26.06,53.72,1.19,2047.5,4/28/2025,13:27:20,69.59,1,26278
26.04,53.67,1.19,2047.5,4/28/2025,13:27:32,69.5,1,26279
26.05,53.58,1.19,2047.5,4/28/2025,13:27:44,69.42,1,26280
26.06,53.48,1.2,2047.5,4/28/2025,13:27:56,69.33,1,26281
26.05,53.55,1.2,2047.5,4/28/2025,13:28:08,69.25,1,26282
26.05,53.44,1.2,2047.5,4/28/2025,13:28:19,69.17,1,26283
26.07,53.39,1.21,2047.5,4/28/2025,13:28:31,69.08,1,26284
26.05,53.46,1.21,2047.5,4/28/2025,13:28:57,68.9,1,26285
26.06,53.36,1.22,2047.5,4/28/2025,13:29:11,68.8,1,26286
26.07,53.18,1.23,2047.5,4/28/2025,13:30:07,68.4,1,26287
26.07,53.12,1.24,2047.5,4/28/2025,13:30:19,68.31,1,26288
26.08,52.88,1.24,2047.5,4/28/2025,13:30:30,68.23,1,26289
26.06,52.93,1.24,2047.5,4/28/2025,13:30:43,68.14,1,26290
26.06,52.91,1.25,2047.5,4/28/2025,13:30:57,68.04,1,26291
26.05,52.97,1.25,2047.5,4/28/2025,13:31:09,67.96,1,26292
26.07,53.02,1.25,2047.5,4/28/2025,13:31:25,67.84,1,26293
26.06,52.96,1.26,2047.5,4/28/2025,13:31:37,67.76,1,26294
26.06,52.88,1.26,2047.5,4/28/2025,13:31:48,67.68,1,26295
26.07,52.89,1.27,2047.5,4/28/2025,13:32:10,67.52,1,26296
26.07,52.9,1.27,2047.5,4/28/2025,13:32:22,67.44,1,26297
26.07,53.07,1.27,2047.5,4/28/2025,13:32:33,67.36,1,26298
26.08,52.99,1.28,2047.5,4/28/2025,13:32:45,67.27,1,26299
26.08,52.81,1.28,2047.5,4/28/2025,13:32:59,67.17,1,26300
26.1,52.77,1.28,2047.5,4/28/2025,13:33:11,67.09,1,26301
26.08,52.77,1.29,2047.5,4/28/2025,13:33:23,67,1,26302
26.11,52.56,1.29,2047.5,4/28/2025,13:33:35,66.92,1,26303
26.08,52.8,1.29,2047.5,4/28/2025,13:33:51,66.8,1,26304
26.09,52.69,1.3,2047.5,4/28/2025,13:34:03,66.72,1,26305
26.09,52.47,1.3,2047.5,4/28/2025,13:34:15,66.63,1,26306
26.1,52.54,1.3,2047.5,4/28/2025,13:34:26,66.55,1,26307
26.09,52.59,1.31,2047.5,4/28/2025,13:34:38,66.47,1,26308
26.11,52.55,1.31,2047.5,4/28/2025,13:34:50,66.38,1,26309
26.11,52.58,1.31,2047.5,4/28/2025,13:35:01,66.3,1,26310
26.1,52.58,1.32,2047.5,4/28/2025,13:35:13,66.22,1,26311
26.11,52.5,1.32,2037,4/28/2025,13:35:24,66.14,1,26312
26.11,52.58,1.32,2047.5,4/28/2025,13:35:36,66.05,1,26313
26.11,52.61,1.33,2047.5,4/28/2025,13:35:48,65.97,1,26314
26.12,52.6,1.33,2047.5,4/28/2025,13:36:00,65.88,1,26315
26.1,52.59,1.33,2047.5,4/28/2025,13:36:11,65.8,1,26316
26.1,52.43,1.34,2047.5,4/28/2025,13:36:24,65.71,1,26317
26.1,52.63,1.34,2047.5,4/28/2025,13:36:35,65.63,1,26318
26.11,52.47,1.34,2047.5,4/28/2025,13:36:47,65.55,1,26319
26.12,52.5,1.35,2047.5,4/28/2025,13:37:05,65.42,1,26320
26.1,52.45,1.35,2047.5,4/28/2025,13:37:17,65.33,1,26321
26.09,52.49,1.36,2047.5,4/28/2025,13:37:28,65.26,1,26322
26.09,52.56,1.36,2047.5,4/28/2025,13:37:40,65.17,1,26323
26.11,52.49,1.36,2047.5,4/28/2025,13:37:51,65.09,1,26324
26.12,52.54,1.36,2047.5,4/28/2025,13:38:03,65.01,1,26325
26.11,52.63,1.37,2047.5,4/28/2025,13:38:18,64.9,1,26326
26.1,52.65,1.37,2047.5,4/28/2025,13:38:30,64.81,1,26327
26.12,52.6,1.38,2047.5,4/28/2025,13:38:41,64.74,1,26328
26.11,52.67,1.38,2047.5,4/28/2025,13:38:53,64.65,1,26329
26.1,52.65,1.38,2047.5,4/28/2025,13:39:04,64.57,1,26330
26.1,52.64,1.38,2047.5,4/28/2025,13:39:16,64.49,1,26331
26.11,52.73,1.39,2047.5,4/28/2025,13:39:32,64.37,1,26332
26.11,52.66,1.39,2047.5,4/28/2025,13:39:44,64.29,1,26333
26.11,52.43,1.4,2047.5,4/28/2025,13:39:55,64.21,1,26334
26.11,52.62,1.4,2047.5,4/28/2025,13:40:07,64.12,1,26335
26.1,52.6,1.4,2047.5,4/28/2025,13:40:23,64.01,1,26336
26.11,52.44,1.41,2040.5,4/28/2025,13:40:44,63.86,1,26337
26.1,52.53,1.43,2025.5,4/28/2025,13:41:50,63.39,1,26338
26.09,52.63,1.46,2034.5,4/28/2025,13:43:29,62.69,1,26339
26.06,52.73,1.46,2039.5,4/28/2025,13:43:41,62.6,1,26340
26.07,52.47,1.46,2047.5,4/28/2025,13:43:53,62.51,1,26341
26.07,52.48,1.46,2047.5,4/28/2025,13:44:04,62.44,1,26342
26.05,52.51,1.47,2041.5,4/28/2025,13:44:16,62.35,1,26343
26.07,52.49,1.47,2040.5,4/28/2025,13:44:28,62.26,1,26344
26.07,52.35,1.48,2047.5,4/28/2025,13:44:40,62.18,1,26345
26.07,52.51,1.48,2040.5,4/28/2025,13:44:52,62.09,1,26346
26.07,52.47,1.48,2047.5,4/28/2025,13:45:03,62.02,1,26347
26.06,52.44,1.48,2047.5,4/28/2025,13:45:15,61.93,1,26348
26.06,52.58,1.49,2047.5,4/28/2025,13:45:30,61.82,1,26349
26.04,52.6,1.49,2047.5,4/28/2025,13:45:41,61.75,1,26350
26.02,52.7,1.5,2043,4/28/2025,13:45:56,61.64,1,26351
26.03,52.75,1.5,2047.5,4/28/2025,13:46:07,61.56,1,26352
26.01,52.69,1.5,2047.5,4/28/2025,13:46:22,61.45,1,26353
26.01,52.7,1.51,2047.5,4/28/2025,13:46:33,61.37,1,26354
26.02,52.71,1.51,2047.5,4/28/2025,13:46:46,61.28,1,26355
26.01,52.46,1.51,2047.5,4/28/2025,13:46:58,61.2,1,26356
26,52.33,1.52,2047.5,4/28/2025,13:47:11,61.1,1,26357
26,52.11,1.52,2041.5,4/28/2025,13:47:23,61.02,1,26358
26,52.16,1.52,2043,4/28/2025,13:47:37,60.92,1,26359
26,52.33,1.53,2047.5,4/28/2025,13:47:49,60.83,1,26360
26.01,52.52,1.53,2043.5,4/28/2025,13:48:00,60.75,1,26361
25.98,52.5,1.53,2047.5,4/28/2025,13:48:12,60.67,1,26362
25.97,52.47,1.54,2040,4/28/2025,13:48:33,60.52,1,26363
25.98,52.64,1.54,2046.5,4/28/2025,13:48:46,60.43,1,26364
25.98,52.56,1.55,2040,4/28/2025,13:49:05,60.29,1,26365
25.98,52.42,1.55,2041.5,4/28/2025,13:49:16,60.21,1,26366
25.97,52.57,1.56,2043.5,4/28/2025,13:49:39,60.05,1,26367
25.99,52.6,1.56,2040.5,4/28/2025,13:49:54,59.94,1,26368
25.99,52.61,1.57,2040.5,4/28/2025,13:50:06,59.86,1,26369
25.99,52.56,1.57,2040,4/28/2025,13:50:17,59.78,1,26370
25.99,52.52,1.57,2037.5,4/28/2025,13:50:32,59.67,1,26371
25.98,52.36,1.58,2042.5,4/28/2025,13:50:43,59.59,1,26372
26,52.4,1.58,2039,4/28/2025,13:50:59,59.48,1,26373
25.99,52.52,1.58,2033.5,4/28/2025,13:51:10,59.4,1,26374
25.99,52.47,1.59,2037,4/28/2025,13:51:22,59.32,1,26375
25.99,52.57,1.59,2035.5,4/28/2025,13:51:34,59.23,1,26376
25.98,52.48,1.59,2031,4/28/2025,13:51:45,59.15,1,26377
25.98,52.63,1.6,2047.5,4/28/2025,13:51:58,59.06,1,26378
25.98,52.5,1.6,2035.5,4/28/2025,13:52:09,58.98,1,26379
25.99,52.45,1.6,2041.5,4/28/2025,13:52:21,58.9,1,26380
25.98,52.49,1.61,2033.5,4/28/2025,13:52:33,58.81,1,26381
25.98,52.25,1.61,2045,4/28/2025,13:52:44,58.73,1,26382
25.98,52.34,1.61,2034.5,4/28/2025,13:52:56,58.65,1,26383
25.97,52.35,1.62,2029.5,4/28/2025,13:53:07,58.57,1,26384
25.98,52.52,1.62,2029.5,4/28/2025,13:53:19,58.48,1,26385
25.97,52.51,1.62,2027,4/28/2025,13:53:31,58.4,1,26386
25.97,52.41,1.63,2030.5,4/28/2025,13:53:43,58.31,1,26387
25.97,52.23,1.63,2040,4/28/2025,13:53:54,58.23,1,26388
25.95,52.45,1.63,1997.5,4/28/2025,13:54:06,58.15,1,26389
25.97,52.47,1.64,2047.5,4/28/2025,13:54:18,58.06,1,26390
25.94,52.23,1.64,2025.5,4/28/2025,13:54:29,57.98,1,26391
25.95,52.23,1.64,2043,4/28/2025,13:54:41,57.9,1,26392
25.95,52.26,1.65,2023,4/28/2025,13:54:53,57.81,1,26393
25.95,52.31,1.65,2030.5,4/28/2025,13:55:05,57.73,1,26394
25.96,52.35,1.65,2047.5,4/28/2025,13:55:16,57.65,1,26395
25.95,52.6,1.66,2021.5,4/28/2025,13:55:28,57.56,1,26396
25.93,52.5,1.66,2019.5,4/28/2025,13:55:40,57.48,1,26397
