temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria
26.69,75.6,6.87,0.7,2025-01-18,22:16:00,95.02,1
27.87,62.25,6.94,0.64,2025-01-18,22:20:00,94.51,1
28.9,74.87,7.0,0.36,2025-01-18,22:24:00,94.5,1
31.76,57.86,7.07,1.08,2025-01-18,22:28:00,94.38,1
28.23,70.85,7.14,0.78,2025-01-18,22:32:00,96.01,1
28.29,65.93,7.2,0.63,2025-01-18,22:36:00,94.9,1
27.51,71.75,7.27,0.21,2025-01-18,22:40:00,94.9,1
23.71,71.72,7.34,0.57,2025-01-18,22:44:00,94.11,1
27.38,68.12,7.4,0.32,2025-01-18,22:48:00,94.7,1
27.43,69.05,7.47,0.74,2025-01-18,22:52:00,94.28,1
32.12,56.81,7.54,0.04,2025-01-18,22:56:00,93.96,1
26.69,73.67,7.6,0.44,2025-01-18,23:00:00,95.26,1
27.55,66.11,7.67,0.35,2025-01-18,23:04:00,94.53,1
26.75,68.73,7.74,0.91,2025-01-18,23:08:00,94.46,1
24.35,68.5,7.8,0.1,2025-01-18,23:12:00,93.66,1
28.85,53.92,7.87,0.55,2025-01-18,23:16:00,93.46,1
27.93,67.15,7.94,0.78,2025-01-18,23:20:00,94.02,1
27.88,80.25,8.0,1.65,2025-01-18,23:24:00,93.71,1
24.34,77.42,8.07,0.37,2025-01-18,23:28:00,94.25,1
28.82,66.67,8.14,0.67,2025-01-18,23:32:00,94.24,1
23.07,74.07,8.2,0.11,2025-01-18,23:36:00,93.88,1
26.91,69.75,8.27,0.53,2025-01-18,23:40:00,94.21,1
29.97,67.78,8.34,1.14,2025-01-18,23:44:00,93.84,1
23.47,68.9,8.4,1.66,2025-01-18,23:48:00,93.26,1
24.17,79.32,8.47,0.71,2025-01-18,23:52:00,93.55,1
25.35,75.55,8.54,0.14,2025-01-18,23:56:00,93.66,1
23.99,77.6,8.6,1.26,2025-01-19,00:00:00,94.01,1
21.75,79.57,8.67,0.14,2025-01-19,00:04:00,93.61,1
24.83,72.85,8.74,0.2,2025-01-19,00:08:00,93.16,1
22.42,79.74,8.8,1.33,2025-01-19,00:12:00,93.88,1
25.33,74.96,8.87,0.5,2025-01-19,00:16:00,93.54,1
22.39,74.65,8.94,0.34,2025-01-19,00:20:00,94.07,1
27.17,66.38,9.0,0.86,2025-01-19,00:24:00,93.29,1
22.34,77.0,9.07,0.6,2025-01-19,00:28:00,92.68,1
23.1,83.09,9.14,1.08,2025-01-19,00:32:00,93.74,1
25.21,65.99,9.2,0.62,2025-01-19,00:36:00,92.81,1
20.96,71.22,9.27,0.63,2025-01-19,00:40:00,93.19,1
23.71,75.26,9.34,1.05,2025-01-19,00:44:00,93.09,1
25.7,71.7,9.4,0.5,2025-01-19,00:48:00,92.97,1
19.71,81.3,9.47,0.26,2025-01-19,00:52:00,92.81,1
23.13,76.53,9.54,0.89,2025-01-19,00:56:00,92.02,1
23.11,74.22,9.6,0.43,2025-01-19,01:00:00,92.3,1
23.98,81.48,9.67,0.66,2025-01-19,01:04:00,93.31,1
19.78,72.33,9.74,0.09,2025-01-19,01:08:00,92.91,1
19.44,76.7,9.8,0.49,2025-01-19,01:12:00,93.6,1
22.95,75.06,9.87,0.36,2025-01-19,01:16:00,92.08,1
22.33,68.29,9.94,0.09,2025-01-19,01:20:00,92.53,1
22.07,76.02,10.01,0.5,2025-01-19,01:24:00,93.08,1
22.08,85.18,10.07,0.51,2025-01-19,01:28:00,92.16,1
19.86,80.32,10.14,0.69,2025-01-19,01:32:00,92.15,1
21.51,78.89,10.21,1.14,2025-01-19,01:36:00,92.2,1
21.46,71.51,10.27,1.02,2025-01-19,01:40:00,92.07,1
19.27,78.01,10.34,0.38,2025-01-19,01:44:00,92.51,1
24.25,71.74,10.41,0.61,2025-01-19,01:48:00,91.31,1
21.3,76.47,10.47,0.76,2025-01-19,01:52:00,92.97,1
17.79,89.72,10.54,0.39,2025-01-19,01:56:00,91.62,1
21.31,80.82,10.61,0.16,2025-01-19,02:00:00,90.99,1
17.88,77.63,10.67,0.46,2025-01-19,02:04:00,91.99,1
21.23,79.39,10.74,1.17,2025-01-19,02:08:00,91.76,1
21.79,79.8,10.81,0.15,2025-01-19,02:12:00,91.81,1
17.66,89.21,10.87,0.25,2025-01-19,02:16:00,92.0,1
21.06,86.32,10.94,0.29,2025-01-19,02:20:00,92.12,1
19.78,75.25,11.01,0.25,2025-01-19,02:24:00,92.59,1
20.43,75.31,11.07,0.87,2025-01-19,02:28:00,91.35,1
22.4,70.11,11.14,0.34,2025-01-19,02:32:00,92.03,1
17.94,81.91,11.21,0.88,2025-01-19,02:36:00,91.95,1
16.76,87.2,11.27,0.56,2025-01-19,02:40:00,90.23,1
16.31,90.47,11.34,0.13,2025-01-19,02:44:00,91.08,1
16.29,85.19,11.41,0.4,2025-01-19,02:48:00,90.8,1
17.6,82.01,11.47,1.04,2025-01-19,02:52:00,91.62,1
18.26,83.36,11.54,0.61,2025-01-19,02:56:00,91.51,1
17.97,78.88,11.61,0.42,2025-01-19,03:00:00,91.47,1
18.9,92.1,11.67,1.18,2025-01-19,03:04:00,91.09,1
17.1,76.31,11.74,0.23,2025-01-19,03:08:00,91.09,1
19.82,81.2,11.81,0.35,2025-01-19,03:12:00,91.13,1
16.22,95.8,11.87,0.98,2025-01-19,03:16:00,90.89,1
22.02,77.0,11.94,0.86,2025-01-19,03:20:00,91.43,1
17.67,82.55,12.01,0.22,2025-01-19,03:24:00,90.46,1
14.54,86.4,12.07,0.75,2025-01-19,03:28:00,90.55,1
13.95,88.17,12.14,0.33,2025-01-19,03:32:00,90.96,1
16.9,91.52,12.21,0.1,2025-01-19,03:36:00,90.66,1
15.33,75.95,12.27,0.43,2025-01-19,03:40:00,90.24,1
17.04,92.1,12.34,1.74,2025-01-19,03:44:00,91.01,1
16.41,78.27,12.41,1.06,2025-01-19,03:48:00,90.41,1
15.16,85.93,12.47,0.53,2025-01-19,03:52:00,90.22,1
13.46,87.67,12.54,0.15,2025-01-19,03:56:00,90.51,1
11.97,94.99,12.61,0.1,2025-01-19,04:00:00,90.1,1
13.96,81.07,12.67,1.6,2025-01-19,04:04:00,90.48,1
16.41,87.69,12.74,0.72,2025-01-19,04:08:00,90.27,1
14.98,97.65,12.81,0.88,2025-01-19,04:12:00,90.14,1
11.92,85.31,12.87,0.81,2025-01-19,04:16:00,90.09,1
14.61,89.03,12.94,0.86,2025-01-19,04:20:00,90.79,1
14.89,84.35,13.01,0.66,2025-01-19,04:24:00,90.43,1
12.21,93.81,13.07,1.17,2025-01-19,04:28:00,89.34,1
14.15,88.87,13.14,0.37,2025-01-19,04:32:00,90.59,1
13.82,86.06,13.21,0.56,2025-01-19,04:36:00,90.35,1
11.29,95.51,13.27,0.13,2025-01-19,04:40:00,90.27,1
14.15,97.79,13.34,0.37,2025-01-19,04:44:00,90.44,1
14.43,87.4,13.41,1.04,2025-01-19,04:48:00,89.95,1
15.35,90.58,13.47,0.84,2025-01-19,04:52:00,90.2,1
15.16,80.79,13.54,0.08,2025-01-19,04:56:00,89.61,1
10.17,89.96,13.61,1.83,2025-01-19,05:00:00,90.22,1
10.93,95.97,13.67,0.61,2025-01-19,05:04:00,89.85,1
13.72,96.85,13.74,0.62,2025-01-19,05:08:00,89.01,1
13.6,91.38,13.81,0.35,2025-01-19,05:12:00,90.16,1
13.48,88.21,13.87,0.41,2025-01-19,05:16:00,89.53,1
20.05,79.93,13.94,0.61,2025-01-19,05:20:00,89.41,1
13.37,83.69,14.01,0.82,2025-01-19,05:24:00,89.27,1
14.39,91.44,14.07,0.69,2025-01-19,05:28:00,89.26,1
13.92,93.53,14.14,0.37,2025-01-19,05:32:00,89.51,1
13.21,87.92,14.21,0.28,2025-01-19,05:36:00,88.85,1
11.18,90.88,14.27,0.27,2025-01-19,05:40:00,88.51,1
13.23,91.49,14.34,1.1,2025-01-19,05:44:00,88.71,1
10.07,92.71,14.41,1.02,2025-01-19,05:48:00,89.39,1
11.05,93.1,14.47,0.77,2025-01-19,05:52:00,89.06,1
10.46,100.0,14.54,1.1,2025-01-19,05:56:00,89.65,1
11.5,91.51,14.61,0.51,2025-01-19,06:00:00,89.01,1
15.88,84.38,14.67,0.96,2025-01-19,06:04:00,89.42,1
7.44,95.61,14.74,0.8,2025-01-19,06:08:00,88.6,1
12.46,95.03,14.81,0.98,2025-01-19,06:12:00,88.68,1
7.79,97.41,14.87,0.25,2025-01-19,06:16:00,88.85,1
9.99,91.76,14.94,0.66,2025-01-19,06:20:00,88.72,1
13.04,97.04,15.01,0.43,2025-01-19,06:24:00,88.62,1
10.92,100.0,15.07,0.1,2025-01-19,06:28:00,88.26,1
8.57,94.14,15.14,1.22,2025-01-19,06:32:00,87.85,1
9.23,86.82,15.21,1.02,2025-01-19,06:36:00,88.91,1
11.96,97.09,15.27,0.71,2025-01-19,06:40:00,88.8,1
9.08,92.95,15.34,0.3,2025-01-19,06:44:00,88.19,1
10.92,97.57,15.41,0.14,2025-01-19,06:48:00,88.63,1
10.53,84.36,15.47,0.17,2025-01-19,06:52:00,88.31,1
9.08,100.0,15.54,0.37,2025-01-19,06:56:00,88.9,1
14.63,82.0,15.61,0.88,2025-01-19,07:00:00,87.64,1
11.56,96.31,15.67,0.44,2025-01-19,07:04:00,88.18,1
6.21,100.0,15.74,0.78,2025-01-19,07:08:00,88.09,1
10.59,89.34,15.81,0.8,2025-01-19,07:12:00,88.22,1
8.86,94.67,15.87,0.87,2025-01-19,07:16:00,88.86,1
11.86,95.65,15.94,0.12,2025-01-19,07:20:00,87.98,1
8.54,97.72,16.01,0.32,2025-01-19,07:24:00,88.37,1
9.87,98.12,16.07,0.77,2025-01-19,07:28:00,87.87,1
11.08,100.0,16.14,1.39,2025-01-19,07:32:00,88.43,1
11.79,84.5,16.21,1.15,2025-01-19,07:36:00,88.22,1
7.64,100.0,16.27,0.68,2025-01-19,07:40:00,87.63,1
9.36,96.49,16.34,1.23,2025-01-19,07:44:00,87.54,1
9.06,91.91,16.41,0.68,2025-01-19,07:48:00,87.94,1
8.7,90.3,16.47,0.17,2025-01-19,07:52:00,87.32,1
13.53,88.76,16.54,0.86,2025-01-19,07:56:00,87.69,1
10.81,98.39,16.61,1.18,2025-01-19,08:00:00,87.37,1
7.48,98.14,16.68,1.68,2025-01-19,08:04:00,87.68,1
11.84,99.79,16.74,0.37,2025-01-19,08:08:00,87.36,1
14.26,81.36,16.81,0.24,2025-01-19,08:12:00,87.05,1
12.09,91.81,16.88,0.97,2025-01-19,08:16:00,87.9,1
7.0,93.24,16.94,0.74,2025-01-19,08:20:00,87.41,1
9.09,98.19,17.01,0.7,2025-01-19,08:24:00,87.22,1
12.61,95.52,17.08,1.24,2025-01-19,08:28:00,87.4,1
8.68,94.87,17.14,0.97,2025-01-19,08:32:00,86.31,1
11.01,80.46,17.21,2.24,2025-01-19,08:36:00,88.14,1
11.7,93.44,17.28,0.41,2025-01-19,08:40:00,87.06,1
8.33,99.69,17.34,0.92,2025-01-19,08:44:00,86.01,1
10.1,96.87,17.41,0.23,2025-01-19,08:48:00,87.54,1
3.77,100.0,17.48,0.68,2025-01-19,08:52:00,86.52,1
8.25,92.27,17.54,0.55,2025-01-19,08:56:00,87.37,1
9.84,98.65,17.61,0.17,2025-01-19,09:00:00,86.85,1
7.89,100.0,17.68,0.75,2025-01-19,09:04:00,85.96,1
13.7,80.55,17.74,0.37,2025-01-19,09:08:00,86.82,1
7.63,100.0,17.81,0.74,2025-01-19,09:12:00,86.74,1
9.66,92.98,17.88,0.28,2025-01-19,09:16:00,87.17,1
10.86,93.3,17.94,0.98,2025-01-19,09:20:00,86.8,1
13.55,91.42,18.01,1.54,2025-01-19,09:24:00,85.87,1
7.86,95.78,18.08,0.23,2025-01-19,09:28:00,86.94,1
13.12,86.94,18.14,0.28,2025-01-19,09:32:00,86.19,1
10.89,93.84,18.21,0.21,2025-01-19,09:36:00,87.2,1
8.97,91.1,18.28,0.49,2025-01-19,09:40:00,86.12,1
11.94,86.67,18.34,0.73,2025-01-19,09:44:00,86.14,1
11.49,96.16,18.41,0.89,2025-01-19,09:48:00,85.78,1
9.97,89.3,18.48,0.68,2025-01-19,09:52:00,85.89,1
11.39,96.24,18.54,0.87,2025-01-19,09:56:00,85.71,1
10.57,96.46,18.61,0.54,2025-01-19,10:00:00,86.63,1
11.66,83.89,18.68,0.37,2025-01-19,10:04:00,85.33,1
12.84,87.35,18.74,0.29,2025-01-19,10:08:00,86.35,1
14.79,93.79,18.81,0.5,2025-01-19,10:12:00,86.31,1
9.23,91.24,18.88,0.29,2025-01-19,10:16:00,86.53,1
16.07,83.57,18.94,0.72,2025-01-19,10:20:00,85.81,1
8.01,100.0,19.01,0.3,2025-01-19,10:24:00,85.23,1
11.71,96.35,19.08,0.41,2025-01-19,10:28:00,85.61,1
13.3,88.8,19.14,1.11,2025-01-19,10:32:00,85.94,1
12.79,87.83,19.21,1.18,2025-01-19,10:36:00,85.64,1
11.09,100.0,19.28,1.16,2025-01-19,10:40:00,85.73,1
12.04,100.0,19.34,0.55,2025-01-19,10:44:00,86.18,1
11.58,97.52,19.41,0.39,2025-01-19,10:48:00,85.73,1
11.51,93.16,19.48,0.79,2025-01-19,10:52:00,85.49,1
14.51,84.2,19.54,0.3,2025-01-19,10:56:00,84.42,1
13.64,85.38,19.61,0.92,2025-01-19,11:00:00,84.9,1
11.67,95.11,19.68,0.37,2025-01-19,11:04:00,85.04,1
14.98,89.62,19.74,0.49,2025-01-19,11:08:00,84.2,1
13.92,96.12,19.81,0.93,2025-01-19,11:12:00,84.59,1
15.07,90.65,19.88,0.15,2025-01-19,11:16:00,84.96,1
14.83,80.24,19.94,0.38,2025-01-19,11:20:00,84.99,1
12.05,97.19,20.01,0.73,2025-01-19,11:24:00,85.25,1
12.72,85.93,20.08,0.84,2025-01-19,11:28:00,84.84,1
15.48,84.87,20.14,0.75,2025-01-19,11:32:00,85.02,1
15.34,88.24,20.21,0.49,2025-01-19,11:36:00,84.63,1
14.22,98.64,20.28,1.0,2025-01-19,11:40:00,84.81,1
14.64,100.0,20.34,0.29,2025-01-19,11:44:00,84.97,1
17.11,87.37,20.41,0.28,2025-01-19,11:48:00,85.43,1
13.52,88.81,20.48,0.73,2025-01-19,11:52:00,84.38,1
15.94,88.76,20.54,0.27,2025-01-19,11:56:00,84.66,1
14.6,92.54,20.61,1.58,2025-01-19,12:00:00,84.98,1
14.72,86.32,20.68,0.39,2025-01-19,12:04:00,83.77,1
17.5,92.72,20.74,0.99,2025-01-19,12:08:00,85.44,1
17.11,85.48,20.81,0.24,2025-01-19,12:12:00,84.98,1
17.24,86.62,20.88,1.38,2025-01-19,12:16:00,83.49,1
18.38,85.75,20.94,0.58,2025-01-19,12:20:00,84.48,1
15.97,88.15,21.01,0.38,2025-01-19,12:24:00,83.96,1
17.46,88.01,21.08,0.47,2025-01-19,12:28:00,83.99,1
15.63,83.46,21.14,0.34,2025-01-19,12:32:00,84.32,1
17.06,81.61,21.21,0.5,2025-01-19,12:36:00,84.62,1
16.32,80.02,21.28,0.25,2025-01-19,12:40:00,83.81,1
16.94,86.79,21.34,0.39,2025-01-19,12:44:00,83.77,1
18.1,86.74,21.41,0.98,2025-01-19,12:48:00,84.13,1
15.44,89.13,21.48,0.67,2025-01-19,12:52:00,84.18,1
21.43,86.23,21.54,0.29,2025-01-19,12:56:00,83.34,1
15.4,86.87,21.61,0.51,2025-01-19,13:00:00,84.65,1
15.15,90.62,21.68,1.2,2025-01-19,13:04:00,83.42,1
20.07,74.44,21.74,0.42,2025-01-19,13:08:00,84.17,1
19.5,78.81,21.81,0.27,2025-01-19,13:12:00,83.87,1
19.34,84.47,21.88,0.82,2025-01-19,13:16:00,83.89,1
19.52,84.97,21.94,0.12,2025-01-19,13:20:00,83.23,1
18.41,80.91,22.01,0.48,2025-01-19,13:24:00,82.63,1
16.81,84.42,22.08,1.27,2025-01-19,13:28:00,83.43,1
18.93,74.01,22.14,0.5,2025-01-19,13:32:00,83.38,1
17.6,81.81,22.21,1.04,2025-01-19,13:36:00,82.86,1
21.08,82.83,22.28,0.27,2025-01-19,13:40:00,83.75,1
19.01,84.36,22.34,0.49,2025-01-19,13:44:00,83.22,1
17.83,85.76,22.41,0.46,2025-01-19,13:48:00,82.79,1
19.01,81.74,22.48,0.8,2025-01-19,13:52:00,83.43,1
20.65,79.06,22.54,0.61,2025-01-19,13:56:00,83.4,1
18.87,78.39,22.61,1.38,2025-01-19,14:00:00,82.68,1
18.53,85.7,22.68,0.41,2025-01-19,14:04:00,83.61,1
20.84,80.85,22.74,1.65,2025-01-19,14:08:00,84.06,1
21.01,80.94,22.81,0.47,2025-01-19,14:12:00,82.35,1
19.68,77.84,22.88,0.58,2025-01-19,14:16:00,82.75,1
19.93,69.34,22.94,0.55,2025-01-19,14:20:00,82.96,1
21.51,83.22,23.01,0.32,2025-01-19,14:24:00,83.88,1
18.32,80.12,23.08,0.95,2025-01-19,14:28:00,82.32,1
18.58,77.82,23.14,0.37,2025-01-19,14:32:00,82.17,1
20.13,83.28,23.21,0.89,2025-01-19,14:36:00,82.12,1
21.31,76.08,23.28,0.2,2025-01-19,14:40:00,83.15,1
22.53,81.5,23.35,0.41,2025-01-19,14:44:00,82.14,1
25.03,75.54,23.41,0.37,2025-01-19,14:48:00,82.02,1
23.96,77.47,23.48,0.14,2025-01-19,14:52:00,82.51,1
22.1,70.02,23.55,0.51,2025-01-19,14:56:00,82.5,1
22.55,82.23,23.61,1.34,2025-01-19,15:00:00,82.83,1
20.75,80.18,23.68,0.48,2025-01-19,15:04:00,82.29,1
22.89,73.82,23.75,0.58,2025-01-19,15:08:00,82.32,1
22.51,76.95,23.81,0.5,2025-01-19,15:12:00,82.09,1
23.9,65.27,23.88,0.87,2025-01-19,15:16:00,81.44,1
21.77,79.39,23.95,0.91,2025-01-19,15:20:00,81.94,1
24.62,67.92,24.01,1.98,2025-01-19,15:24:00,82.02,1
26.81,63.02,24.08,0.69,2025-01-19,15:28:00,81.72,1
23.69,66.85,24.15,0.34,2025-01-19,15:32:00,81.11,1
24.87,78.26,24.21,0.4,2025-01-19,15:36:00,81.27,1
25.61,68.44,24.28,0.43,2025-01-19,15:40:00,81.77,1
23.58,82.3,24.35,0.38,2025-01-19,15:44:00,82.21,1
24.99,69.84,24.41,1.55,2025-01-19,15:48:00,82.53,1
24.72,64.38,24.48,0.89,2025-01-19,15:52:00,81.55,1
25.04,66.85,24.55,0.8,2025-01-19,15:56:00,81.23,1
23.45,81.0,24.61,0.28,2025-01-19,16:00:00,81.35,1
25.2,71.42,24.68,0.91,2025-01-19,16:04:00,80.97,1
26.3,67.82,24.75,1.16,2025-01-19,16:08:00,81.83,1
28.35,68.28,24.81,1.34,2025-01-19,16:12:00,82.46,1
27.51,71.24,24.88,0.4,2025-01-19,16:16:00,80.99,1
30.04,70.52,24.95,1.41,2025-01-19,16:20:00,80.69,1
24.34,80.73,25.01,0.37,2025-01-19,16:24:00,81.74,1
27.76,66.56,25.08,0.34,2025-01-19,16:28:00,81.35,1
26.52,63.58,25.15,0.31,2025-01-19,16:32:00,81.31,1
30.67,61.92,25.21,0.56,2025-01-19,16:36:00,81.88,1
24.81,74.08,25.28,0.69,2025-01-19,16:40:00,80.36,1
24.88,67.86,25.35,1.06,2025-01-19,16:44:00,80.29,1
25.49,66.98,25.41,0.83,2025-01-19,16:48:00,80.86,1
22.57,77.86,25.48,0.82,2025-01-19,16:52:00,80.92,1
25.9,70.91,25.55,1.27,2025-01-19,16:56:00,80.66,1
25.55,71.83,25.61,0.3,2025-01-19,17:00:00,82.02,1
27.49,64.97,25.68,0.22,2025-01-19,17:04:00,80.59,1
28.0,66.85,25.75,0.86,2025-01-19,17:08:00,80.41,1
31.18,58.6,25.81,0.55,2025-01-19,17:12:00,80.7,1
29.45,70.28,25.88,1.07,2025-01-19,17:16:00,81.08,1
26.51,75.42,25.95,0.58,2025-01-19,17:20:00,80.18,1
25.97,61.81,26.01,0.4,2025-01-19,17:24:00,80.42,1
28.86,62.06,26.08,0.86,2025-01-19,17:28:00,80.94,1
25.35,64.5,26.15,0.63,2025-01-19,17:32:00,80.92,1
31.75,59.12,26.21,0.58,2025-01-19,17:36:00,80.45,1
30.55,63.76,26.28,2.21,2025-01-19,17:40:00,81.5,1
27.35,61.72,26.35,1.21,2025-01-19,17:44:00,81.23,1
