temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,gas_crudo,,,,
27.41,50.91,4.83,2047.5,4/28/2025,17:06:09,99.49,1,4095,,,,
27.5,50.78,4.84,2047.5,4/28/2025,17:06:21,99.4,1,4095,,,,
27.62,50.54,4.84,2047.5,4/28/2025,17:06:37,99.29,1,4095,,,,
27.73,50.32,4.84,2047.5,4/28/2025,17:06:52,99.18,1,4095,,,,
27.81,50.17,4.85,2047.5,4/28/2025,17:07:04,99.1,1,4095,,,,
27.92,49.98,4.85,2047.5,4/28/2025,17:07:19,98.99,1,4095,,,,
27.99,49.86,4.86,2047.5,4/28/2025,17:07:31,98.9,1,4095,,,,
28.06,49.76,4.86,2047.5,4/28/2025,17:07:43,98.82,1,4095,,,,
28.13,49.64,4.86,2047.5,4/28/2025,17:07:55,98.73,1,4095,,,,
28.19,49.51,4.87,2047.5,4/28/2025,17:08:06,98.65,1,4095,,,,
28.26,49.39,4.87,2047.5,4/28/2025,17:08:18,98.57,1,4095,,,,
28.36,49.27,4.87,2047.5,4/28/2025,17:08:34,98.45,1,4095,,,,
28.42,49.17,4.88,2047.5,4/28/2025,17:08:46,98.37,1,4095,,,,
28.48,49.12,4.88,2047.5,4/28/2025,17:08:58,98.28,1,4095,,,,
28.51,49.02,4.88,2047.5,4/28/2025,17:09:09,98.21,1,4095,,,,
28.58,48.9,4.89,2047.5,4/28/2025,17:09:21,98.12,1,4095,,,,
28.62,48.75,4.89,2047.5,4/28/2025,17:09:33,98.03,1,4095,,,,
28.67,48.63,4.89,2047.5,4/28/2025,17:09:44,97.96,1,4095,,,,
28.69,48.54,4.9,2047.5,4/28/2025,17:09:56,97.87,1,4095,,,,
28.76,48.48,4.9,2047.5,4/28/2025,17:10:08,97.78,1,4095,,,,
28.79,48.47,4.9,2047.5,4/28/2025,17:10:19,97.71,1,4095,,,,
28.82,48.4,4.91,2047.5,4/28/2025,17:10:31,97.62,1,4095,,,,
28.88,48.36,4.91,2047.5,4/28/2025,17:10:43,97.54,1,4095,,,,
28.92,48.32,4.91,2047.5,4/28/2025,17:10:55,97.45,1,4095,,,,
28.95,48.25,4.92,2047.5,4/28/2025,17:11:07,97.36,1,4095,,,,
28.99,48.16,4.92,2047.5,4/28/2025,17:11:18,97.29,1,4095,,,,
29.01,48.06,4.92,2047.5,4/28/2025,17:11:33,97.18,1,4095,,,,
29.05,48.01,4.93,2047.5,4/28/2025,17:11:45,97.09,1,4095,,,,
29.07,47.96,4.93,2047.5,4/28/2025,17:11:57,97.01,1,4095,,,,
29.09,47.95,4.93,2047.5,4/28/2025,17:12:08,96.93,1,4095,,,,
29.12,47.91,4.94,2047.5,4/28/2025,17:12:20,96.84,1,4095,,,,
29.14,47.88,4.94,2047.5,4/28/2025,17:12:32,96.76,1,4095,,,,
29.16,47.81,4.94,2047.5,4/28/2025,17:12:44,96.67,1,4095,,,,
29.19,47.77,4.95,2047.5,4/28/2025,17:12:57,96.58,1,4095,,,,
29.21,47.74,4.95,2047.5,4/28/2025,17:13:08,96.5,1,4095,,,,
29.23,47.75,4.95,2047.5,4/28/2025,17:13:23,96.4,1,4095,,,,
29.24,47.8,4.96,2047.5,4/28/2025,17:13:35,96.31,1,4095,,,,
29.27,47.67,4.96,2047.5,4/28/2025,17:13:50,96.2,1,4095,,,,
29.32,47.67,4.97,2047.5,4/28/2025,17:14:12,96.05,1,4095,,,,
29.33,47.64,4.97,2047.5,4/28/2025,17:14:25,95.95,1,4095,,,,
29.34,47.63,4.97,2047.5,4/28/2025,17:14:37,95.87,1,4095,,,,
29.36,47.6,4.98,2047.5,4/28/2025,17:14:55,95.74,1,4095,,,,
29.35,47.58,4.98,2047.5,4/28/2025,17:15:07,95.66,1,4095,,,,
29.37,47.53,4.99,2047.5,4/28/2025,17:15:19,95.57,1,4095,,,,
29.38,47.53,4.99,2047.5,4/28/2025,17:15:31,95.48,1,4095,,,,
29.38,47.51,4.99,2047.5,4/28/2025,17:15:43,95.4,1,4095,,,,
29.4,47.48,5,2047.5,4/28/2025,17:15:54,95.32,1,4095,,,,
29.39,47.48,5,2047.5,4/28/2025,17:16:06,95.24,1,4095,,,,
29.4,47.49,5,2047.5,4/28/2025,17:16:18,95.15,1,4095,,,,
29.41,47.45,5.01,2047.5,4/28/2025,17:16:30,95.06,1,4095,,,,
29.42,47.45,5.01,2047.5,4/28/2025,17:16:44,94.96,1,4095,,,,
29.42,47.43,5.01,2047.5,4/28/2025,17:16:58,94.86,1,4095,,,,
29.43,47.44,5.02,2047.5,4/28/2025,17:17:10,94.78,1,4095,,,,
29.41,47.44,5.02,2047.5,4/28/2025,17:17:21,94.7,1,4095,,,,
29.43,47.38,5.02,2047.5,4/28/2025,17:17:33,94.62,1,4095,,,,
29.44,47.37,5.03,2047.5,4/28/2025,17:17:45,94.53,1,4095,,,,
29.43,47.39,5.03,2047.5,4/28/2025,17:17:57,94.44,1,4095,,,,
29.45,47.36,5.03,2047.5,4/28/2025,17:18:08,94.37,1,4095,,,,
29.45,47.42,5.04,2047.5,4/28/2025,17:18:21,94.27,1,4095,,,,
29.45,47.41,5.04,2047.5,4/28/2025,17:18:32,94.2,1,4095,,,,
29.41,47.49,5.04,2047.5,4/28/2025,17:18:44,94.11,1,4095,,,,
29.37,47.55,5.05,2047.5,4/28/2025,17:18:55,94.03,1,4095,,,,
29.39,47.58,5.05,2047.5,4/28/2025,17:19:07,93.95,1,4095,,,,
29.39,47.57,5.05,2047.5,4/28/2025,17:19:19,93.86,1,4095,,,,
29.4,47.55,5.06,2047.5,4/28/2025,17:19:31,93.77,1,4095,,,,
29.41,47.47,5.06,2047.5,4/28/2025,17:19:43,93.69,1,4095,,,,
29.44,47.45,5.06,2047.5,4/28/2025,17:19:58,93.58,1,4095,,,,
29.43,47.48,5.07,2047.5,4/28/2025,17:20:12,93.48,1,4095,,,,
29.43,47.46,5.07,2047.5,4/28/2025,17:20:24,93.4,1,4095,,,,
29.43,47.48,5.07,2047.5,4/28/2025,17:20:38,93.3,1,4095,,,,
29.46,47.44,5.08,2047.5,4/28/2025,17:20:50,93.21,1,4095,,,,
29.46,47.44,5.08,2047.5,4/28/2025,17:21:01,93.13,1,4095,,,,
29.46,47.37,5.08,2047.5,4/28/2025,17:21:13,93.05,1,4095,,,,
29.47,47.43,5.09,2047.5,4/28/2025,17:21:25,92.96,1,4095,,,,
29.48,47.4,5.09,2047.5,4/28/2025,17:21:37,92.88,1,4095,,,,
29.5,47.4,5.09,2047.5,4/28/2025,17:21:50,92.78,1,4095,,,,
29.51,47.33,5.1,2047.5,4/28/2025,17:22:01,92.71,1,4095,,,,
29.5,47.32,5.1,2047.5,4/28/2025,17:22:13,92.62,1,4095,,,,
29.52,47.33,5.1,2047.5,4/28/2025,17:22:25,92.54,1,4095,,,,
29.51,47.31,5.11,2047.5,4/28/2025,17:22:37,92.45,1,4095,,,,
29.52,47.28,5.11,2047.5,4/28/2025,17:22:49,92.36,1,4095,,,,
29.52,47.29,5.11,2047.5,4/28/2025,17:23:00,92.29,1,4095,,,,
29.54,47.27,5.12,2047.5,4/28/2025,17:23:12,92.2,1,4095,,,,
29.52,47.26,5.12,2047.5,4/28/2025,17:23:24,92.12,1,4095,,,,
29.53,47.2,5.12,2047.5,4/28/2025,17:23:36,92.03,1,4095,,,,
29.53,47.21,5.13,2047.5,4/28/2025,17:23:48,91.94,1,4095,,,,
29.53,47.17,5.13,2047.5,4/28/2025,17:23:59,91.87,1,4095,,,,
29.53,47.23,5.13,2047.5,4/28/2025,17:24:11,91.78,1,4095,,,,
29.52,47.21,5.14,2047.5,4/28/2025,17:24:23,91.7,1,4095,,,,
29.53,47.21,5.14,2047.5,4/28/2025,17:24:34,91.62,1,4095,,,,
29.52,47.14,5.14,2047.5,4/28/2025,17:24:46,91.53,1,4095,,,,
29.52,47.18,5.15,2047.5,4/28/2025,17:24:58,91.45,1,4095,,,,
29.53,47.17,5.15,2047.5,4/28/2025,17:25:10,91.36,1,4095,,,,
29.54,47.16,5.15,2047.5,4/28/2025,17:25:21,91.28,1,4095,,,,
29.54,47.21,5.16,2047.5,4/28/2025,17:25:33,91.2,1,4095,,,,
29.54,47.16,5.16,2047.5,4/28/2025,17:25:45,91.11,1,4095,,,,
29.54,47.17,5.16,2047.5,4/28/2025,17:25:57,91.03,1,4095,,,,
29.54,47.2,5.17,2047.5,4/28/2025,17:26:11,90.93,1,4095,,,,
29.53,47.22,5.17,2047.5,4/28/2025,17:26:23,90.84,1,4095,,,,
29.52,47.2,5.17,2047.5,4/28/2025,17:26:35,90.75,1,4095,,,,
29.51,47.19,5.18,2047.5,4/28/2025,17:26:46,90.68,1,4095,,,,
29.52,47.24,5.18,2047.5,4/28/2025,17:26:58,90.59,1,4095,,,,
29.49,47.22,5.18,2047.5,4/28/2025,17:27:10,90.51,1,4095,,,,
29.48,47.23,5.19,2047.5,4/28/2025,17:27:21,90.43,1,4095,,,,
29.47,47.25,5.19,2047.5,4/28/2025,17:27:33,90.34,1,4095,,,,
29.46,47.23,5.19,2047.5,4/28/2025,17:27:45,90.26,1,4095,,,,
29.46,47.26,5.2,2047.5,4/28/2025,17:27:56,90.18,1,4095,,,,
29.45,47.27,5.2,2047.5,4/28/2025,17:28:09,90.09,1,4095,,,,
29.44,47.3,5.2,2047.5,4/28/2025,17:28:21,90,1,4095,,,,
29.45,47.33,5.21,2047.5,4/28/2025,17:28:32,89.92,1,4095,,,,
29.45,47.35,5.21,2047.5,4/28/2025,17:28:44,89.84,1,4095,,,,
29.43,47.32,5.21,2047.5,4/28/2025,17:28:58,89.74,1,4095,,,,
29.42,47.33,5.22,2047.5,4/28/2025,17:29:10,89.65,1,4095,,,,
29.41,47.39,5.22,2047.5,4/28/2025,17:29:21,89.57,1,4095,,,,
29.41,47.39,5.22,2047.5,4/28/2025,17:29:33,89.49,1,4095,,,,
29.41,47.4,5.23,2047.5,4/28/2025,17:29:45,89.4,1,4095,,,,
29.41,47.38,5.23,2047.5,4/28/2025,17:29:58,89.31,1,4095,,,,
29.39,47.42,5.23,2047.5,4/28/2025,17:30:09,89.23,1,4095,,,,
29.39,47.42,5.24,2047.5,4/28/2025,17:30:21,89.15,1,4095,,,,
29.38,47.45,5.24,2047.5,4/28/2025,17:30:33,89.06,1,4095,,,,
29.39,47.43,5.24,2047.5,4/28/2025,17:30:45,88.97,1,4095,,,,
29.35,47.48,5.25,2047.5,4/28/2025,17:30:56,88.9,1,4095,,,,
29.36,47.47,5.25,2047.5,4/28/2025,17:31:08,88.81,1,4095,,,,
29.35,47.44,5.25,2047.5,4/28/2025,17:31:20,88.73,1,4095,,,,
29.36,47.49,5.26,2047.5,4/28/2025,17:31:31,88.65,1,4095,,,,
29.35,47.48,5.26,2047.5,4/28/2025,17:31:43,88.56,1,4095,,,,
29.34,47.45,5.26,2047.5,4/28/2025,17:31:55,88.48,1,4095,,,,
29.3,47.51,5.27,2047.5,4/28/2025,17:32:06,88.4,1,4095,,,,
29.28,47.54,5.27,2047.5,4/28/2025,17:32:18,88.31,1,4095,,,,
29.22,47.62,5.27,2047.5,4/28/2025,17:32:30,88.23,1,4095,,,,
29.19,47.67,5.28,2047.5,4/28/2025,17:32:42,88.14,1,4095,,,,
29.15,47.71,5.28,2047.5,4/28/2025,17:32:53,88.06,1,4095,,,,
29.14,47.68,5.28,2047.5,4/28/2025,17:33:05,87.98,1,4095,,,,
29.13,47.67,5.29,2047.5,4/28/2025,17:33:17,87.89,1,4095,,,,
29.14,47.62,5.29,2047.5,4/28/2025,17:33:28,87.81,1,4095,,,,
29.15,47.63,5.29,2047.5,4/28/2025,17:33:40,87.73,1,4095,,,,
29.14,47.55,5.3,2047.5,4/28/2025,17:33:52,87.64,1,4095,,,,
29.14,47.56,5.3,2041.5,4/28/2025,17:34:03,87.56,1,4083,,,,
29.15,47.51,5.3,2047.5,4/28/2025,17:34:15,87.48,1,4095,,,,
29.13,47.5,5.3,2041.5,4/28/2025,17:34:27,87.39,1,4083,,,,
29.15,47.47,5.31,2047.5,4/28/2025,17:34:39,87.31,1,4095,,,,
29.13,47.45,5.31,2047.5,4/28/2025,17:34:50,87.23,1,4095,,,,
29.14,47.45,5.31,2047.5,4/28/2025,17:35:02,87.14,1,4095,,,,
29.12,47.42,5.32,2047.5,4/28/2025,17:35:14,87.06,1,4095,,,,
29.13,47.42,5.32,2047.5,4/28/2025,17:35:25,86.98,1,4095,,,,
29.1,47.37,5.32,2047.5,4/28/2025,17:35:37,86.89,1,4095,,,,
29.11,47.36,5.33,2035.5,4/28/2025,17:35:49,86.81,1,4071,,,,
29.09,47.34,5.33,2039.5,4/28/2025,17:36:00,86.73,1,4079,,,,
29.08,47.34,5.33,2043.5,4/28/2025,17:36:12,86.65,1,4087,,,,
29.07,47.37,5.34,2035.5,4/28/2025,17:36:24,86.56,1,4071,,,,
29.05,47.4,5.34,2031.5,4/28/2025,17:36:36,86.47,1,4063,,,,
29.03,47.41,5.34,2031.5,4/28/2025,17:36:47,86.4,1,4063,,,,
29.03,47.34,5.35,2031.5,4/28/2025,17:36:59,86.31,1,4063,,,,
29.01,47.36,5.35,2039.5,4/28/2025,17:37:11,86.23,1,4079,,,,
28.99,47.39,5.35,2031.5,4/28/2025,17:37:23,86.14,1,4063,,,,
28.98,47.45,5.36,2023.5,4/28/2025,17:37:34,86.06,1,4047,,,,
28.96,47.49,5.36,2031.5,4/28/2025,17:37:46,85.98,1,4063,,,,
25.77,54.35,0,2047.5,4/28/2025,12:16:10,100,1,4095,,,,
25.41,55.37,0,2047.5,4/28/2025,12:16:23,99.91,1,4095,,,,
25.12,55.86,0.01,2047.5,4/28/2025,12:16:35,99.82,1,4095,,,,
24.72,57.2,0.01,2047.5,4/28/2025,12:16:52,99.7,1,4095,,,,
24.48,57.89,0.02,2047.5,4/28/2025,12:17:06,99.6,1,4095,,,,
24.14,58.19,0.02,2047.5,4/28/2025,12:17:25,99.47,1,4095,,,,
23.97,58.92,0.02,2047.5,4/28/2025,12:17:40,99.36,1,4095,,,,
23.87,59.14,0.03,2047.5,4/28/2025,12:17:51,99.28,1,4095,,,,
23.81,59.44,0.03,2047.5,4/28/2025,12:18:03,99.2,1,4095,,,,
23.73,59.71,0.03,2047.5,4/28/2025,12:18:15,99.11,1,4095,,,,
23.69,59.9,0.04,2047.5,4/28/2025,12:18:27,99.02,1,4095,,,,
23.68,60.16,0.04,2040,4/28/2025,12:18:39,98.94,1,4080,,,,
23.66,60.25,0.04,2047.5,4/28/2025,12:18:51,98.85,1,4095,,,,
23.68,59.88,0.05,2047.5,4/28/2025,12:19:13,98.7,1,4095,,,,
23.7,59.91,0.05,2047.5,4/28/2025,12:19:25,98.61,1,4095,,,,
23.69,61.19,0.06,2047.5,4/28/2025,12:19:39,98.51,1,4095,,,,
24.29,60.78,0.1,2047.5,4/28/2025,12:22:01,97.5,1,4095,,,,
24.33,63.14,0.1,2047.5,4/28/2025,12:22:14,97.41,1,4095,,,,
24.35,65.49,0.1,2047.5,4/28/2025,12:22:27,97.31,1,4095,,,,
24.4,61.05,0.11,2047.5,4/28/2025,12:22:50,97.15,1,4095,,,,
24.72,58.04,0.14,2047.5,4/28/2025,12:24:35,96.4,1,4095,,,,
24.78,57.15,0.15,2047.5,4/28/2025,12:25:08,96.17,1,4095,,,,
24.85,56.72,0.15,2047.5,4/28/2025,12:25:27,96.03,1,4095,,,,
24.85,56.84,0.16,2047.5,4/28/2025,12:25:40,95.94,1,4095,,,,
24.95,56.26,0.18,2047.5,4/28/2025,12:27:07,95.32,1,4095,,,,
25.1,56.3,0.2,2047.5,4/28/2025,12:28:04,94.91,1,4095,,,,
25.13,56.16,0.2,2047.5,4/28/2025,12:28:19,94.81,1,4095,,,,
25.15,55.12,0.21,2047.5,4/28/2025,12:28:41,94.65,1,4095,,,,
25.2,55.94,0.21,2047.5,4/28/2025,12:28:54,94.56,1,4095,,,,
25.22,55.76,0.22,2047.5,4/28/2025,12:29:12,94.43,1,4095,,,,
25.36,55.55,0.24,2047.5,4/28/2025,12:30:48,93.75,1,4095,,,,
25.38,55.18,0.25,2047.5,4/28/2025,12:31:00,93.66,1,4095,,,,
25.53,55.1,0.29,2047.5,4/28/2025,12:33:29,92.6,1,4095,,,,
25.55,54.78,0.3,2047.5,4/28/2025,12:34:09,92.31,1,4095,,,,
25.56,54.65,0.3,2047.5,4/28/2025,12:34:26,92.19,1,4095,,,,
25.56,54.54,0.31,2047.5,4/28/2025,12:34:38,92.11,1,4095,,,,
25.54,54.64,0.31,2047.5,4/28/2025,12:34:52,92.01,1,4095,,,,
25.57,54.3,0.34,2047.5,4/28/2025,12:36:21,91.37,1,4095,,,,
25.62,54.05,0.4,2047.5,4/28/2025,12:39:59,89.82,1,4095,,,,
25.62,53.12,0.44,2047.5,4/28/2025,12:42:49,88.61,1,4095,,,,
25.75,53.26,0.53,2047.5,4/28/2025,12:47:58,86.41,1,4095,,,,
25.77,53.07,0.54,2047.5,4/28/2025,12:48:16,86.28,1,4095,,,,
25.76,53.22,0.54,2047.5,4/28/2025,12:48:27,86.2,1,4095,,,,
25.78,53.3,0.54,2047.5,4/28/2025,12:48:39,86.12,1,4095,,,,
25.77,53.19,0.54,2047.5,4/28/2025,12:48:51,86.03,1,4095,,,,
25.78,53.29,0.55,2047.5,4/28/2025,12:49:03,85.95,1,4095,,,,
25.78,53.24,0.55,2047.5,4/28/2025,12:49:18,85.84,1,4095,,,,
25.79,53.23,0.56,2047.5,4/28/2025,12:49:30,85.75,1,4095,,,,
25.79,53.37,0.56,2047.5,4/28/2025,12:49:42,85.67,1,4095,,,,
25.8,53.33,0.56,2047.5,4/28/2025,12:49:53,85.59,1,4095,,,,
25.81,53.41,0.57,2047.5,4/28/2025,12:50:05,85.51,1,4095,,,,
25.83,52.97,0.57,2047.5,4/28/2025,12:50:16,85.43,1,4095,,,,
25.81,53.27,0.57,2047.5,4/28/2025,12:50:28,85.34,1,4095,,,,
25.81,53.2,0.57,2047.5,4/28/2025,12:50:40,85.26,1,4095,,,,
25.8,53.29,0.58,2047.5,4/28/2025,12:50:52,85.17,1,4095,,,,
25.81,53.25,0.58,2047.5,4/28/2025,12:51:04,85.09,1,4095,,,,
25.8,53.36,0.58,2047.5,4/28/2025,12:51:16,85,1,4095,,,,
25.82,53.15,0.59,2047.5,4/28/2025,12:51:27,84.92,1,4095,,,,
25.81,53.18,0.59,2047.5,4/28/2025,12:51:39,84.84,1,4095,,,,
25.82,53.31,0.59,2047.5,4/28/2025,12:51:51,84.75,1,4095,,,,
25.82,53.21,0.6,2047.5,4/28/2025,12:52:02,84.67,1,4095,,,,
25.82,53.37,0.6,2047.5,4/28/2025,12:52:14,84.59,1,4095,,,,
25.81,52.62,0.6,2047.5,4/28/2025,12:52:26,84.5,1,4095,,,,
25.82,52.32,0.61,2047.5,4/28/2025,12:52:40,84.4,1,4095,,,,
25.81,52.97,0.61,2047.5,4/28/2025,12:52:51,84.32,1,4095,,,,
25.81,52.38,0.61,2047.5,4/28/2025,12:53:03,84.24,1,4095,,,,
25.83,51.83,0.62,2047.5,4/28/2025,12:53:19,84.12,1,4095,,,,
25.79,52.61,0.62,2047.5,4/28/2025,12:53:31,84.04,1,4095,,,,
25.8,52.76,0.63,2047.5,4/28/2025,12:53:43,83.95,1,4095,,,,
25.8,52.88,0.63,2047.5,4/28/2025,12:53:54,83.87,1,4095,,,,
25.75,52.34,0.63,2047.5,4/28/2025,12:54:06,83.79,1,4095,,,,
25.69,52.14,0.64,2047.5,4/28/2025,12:54:18,83.7,1,4095,,,,
25.65,52.73,0.64,2047.5,4/28/2025,12:54:30,83.62,1,4095,,,,
25.63,52.75,0.64,2047.5,4/28/2025,12:54:41,83.54,1,4095,,,,
25.65,52.97,0.65,2047.5,4/28/2025,12:54:53,83.45,1,4095,,,,
25.66,53.1,0.65,2047.5,4/28/2025,12:55:05,83.37,1,4095,,,,
25.66,53.04,0.65,2047.5,4/28/2025,12:55:16,83.29,1,4095,,,,
25.68,53.02,0.66,2047.5,4/28/2025,12:55:28,83.21,1,4095,,,,
25.68,53.15,0.66,2047.5,4/28/2025,12:55:40,83.12,1,4095,,,,
25.7,53.04,0.66,2047.5,4/28/2025,12:55:51,83.04,1,4095,,,,
25.72,52.89,0.66,2047.5,4/28/2025,12:56:03,82.96,1,4095,,,,
25.74,53.17,0.67,2047.5,4/28/2025,12:56:15,82.87,1,4095,,,,
25.76,53.05,0.67,2047.5,4/28/2025,12:56:26,82.79,1,4095,,,,
25.75,52.88,0.68,2047.5,4/28/2025,12:56:41,82.69,1,4095,,,,
25.77,53.1,0.68,2047.5,4/28/2025,12:56:56,82.58,1,4095,,,,
25.77,53.16,0.68,2047.5,4/28/2025,12:57:08,82.49,1,4095,,,,
25.78,53.21,0.69,2047.5,4/28/2025,12:57:20,82.41,1,4095,,,,
25.8,53.14,0.69,2047.5,4/28/2025,12:57:32,82.32,1,4095,,,,
25.81,53.22,0.69,2047.5,4/28/2025,12:57:43,82.24,1,4095,,,,
25.8,53.14,0.7,2047.5,4/28/2025,12:57:55,82.16,1,4095,,,,
25.81,53.16,0.7,2047.5,4/28/2025,12:58:07,82.07,1,4095,,,,
25.81,53.14,0.7,2047.5,4/28/2025,12:58:19,81.99,1,4095,,,,
25.81,53.07,0.71,2047.5,4/28/2025,12:58:30,81.91,1,4095,,,,
25.82,53.09,0.71,2047.5,4/28/2025,12:58:42,81.82,1,4095,,,,
25.8,53.04,0.71,2047.5,4/28/2025,12:58:54,81.74,1,4095,,,,
25.81,53.02,0.72,2047.5,4/28/2025,12:59:06,81.65,1,4095,,,,
25.82,52.98,0.72,2047.5,4/28/2025,12:59:17,81.57,1,4095,,,,
25.82,52.91,0.72,2047.5,4/28/2025,12:59:29,81.49,1,4095,,,,
25.82,53.12,0.73,2047.5,4/28/2025,12:59:45,81.37,1,4095,,,,
25.83,53.02,0.73,2047.5,4/28/2025,12:59:56,81.3,1,4095,,,,
25.83,52.98,0.73,2047.5,4/28/2025,13:00:08,81.21,1,4095,,,,
25.83,53.05,0.74,2047.5,4/28/2025,13:00:20,81.13,1,4095,,,,
25.84,52.9,0.74,2047.5,4/28/2025,13:00:32,81.04,1,4095,,,,
25.85,52.75,0.74,2047.5,4/28/2025,13:00:47,80.93,1,4095,,,,
25.84,52.81,0.75,2047.5,4/28/2025,13:00:59,80.85,1,4095,,,,
25.84,52.93,0.75,2047.5,4/28/2025,13:01:10,80.77,1,4095,,,,
25.85,52.81,0.75,2047.5,4/28/2025,13:01:22,80.68,1,4095,,,,
25.87,52.77,0.76,2047.5,4/28/2025,13:01:34,80.6,1,4095,,,,
25.85,52.95,0.76,2047.5,4/28/2025,13:01:46,80.51,1,4095,,,,
25.85,52.95,0.76,2047.5,4/28/2025,13:01:58,80.43,1,4095,,,,
25.86,52.96,0.77,2047.5,4/28/2025,13:02:09,80.35,1,4095,,,,
25.85,53.06,0.77,2047.5,4/28/2025,13:02:21,80.26,1,4095,,,,
25.85,52.93,0.77,2047.5,4/28/2025,13:02:33,80.18,1,4095,,,,
25.83,52.46,0.78,2047.5,4/28/2025,13:02:44,80.1,1,4095,,,,
25.82,52.53,0.78,2047.5,4/28/2025,13:02:58,80,1,4095,,,,
25.79,53.03,0.78,2047.5,4/28/2025,13:03:10,79.91,1,4095,,,,
25.79,53.09,0.79,2043.5,4/28/2025,13:03:22,79.83,1,4087,,,,
25.78,53.11,0.79,2047.5,4/28/2025,13:03:33,79.75,1,4095,,,,
25.79,52.78,0.79,2047.5,4/28/2025,13:03:45,79.67,1,4095,,,,
25.79,53.1,0.8,2041,4/28/2025,13:03:57,79.58,1,4082,,,,
25.77,52.68,0.8,2047.5,4/28/2025,13:04:08,79.5,1,4095,,,,
25.77,53.12,0.8,2047.5,4/28/2025,13:04:20,79.42,1,4095,,,,
25.76,53.11,0.81,2047.5,4/28/2025,13:04:32,79.33,1,4095,,,,
25.76,53.09,0.81,2047.5,4/28/2025,13:04:43,79.25,1,4095,,,,
25.75,52.94,0.81,2047.5,4/28/2025,13:04:55,79.17,1,4095,,,,
25.74,52.13,0.82,2047.5,4/28/2025,13:05:07,79.08,1,4095,,,,
25.74,52.68,0.82,2039.5,4/28/2025,13:05:18,79,1,4079,,,,
25.73,52.89,0.82,2042.5,4/28/2025,13:05:30,78.92,1,4085,,,,
25.74,52.8,0.83,2029.5,4/28/2025,13:05:42,78.83,1,4059,,,,
25.65,51.87,0.83,2047.5,4/28/2025,13:05:53,78.75,1,4095,,,,
25.63,52.77,0.83,2023.5,4/28/2025,13:06:05,78.67,1,4047,,,,
25.62,52.87,0.84,2047.5,4/28/2025,13:06:17,78.58,1,4095,,,,
25.62,52.56,0.84,2047.5,4/28/2025,13:06:29,78.5,1,4095,,,,
25.58,52.64,0.84,2047.5,4/28/2025,13:06:40,78.42,1,4095,,,,
25.55,52.98,0.84,2047.5,4/28/2025,13:06:52,78.33,1,4095,,,,
25.57,53.03,0.85,2047.5,4/28/2025,13:07:03,78.25,1,4095,,,,
25.56,52.96,0.85,2047.5,4/28/2025,13:07:15,78.17,1,4095,,,,
25.55,52.83,0.85,2047.5,4/28/2025,13:07:27,78.08,1,4095,,,,
25.57,52.78,0.86,2043,4/28/2025,13:07:38,78.01,1,4086,,,,
25.56,53.19,0.86,2033,4/28/2025,13:07:50,77.92,1,4066,,,,
25.52,52.8,0.86,2047.5,4/28/2025,13:08:02,77.83,1,4095,,,,
25.29,53.33,0.87,2047.5,4/28/2025,13:08:14,77.75,1,4095,,,,
