temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,ID,horas_operacion,ciclo_operacion,fecha_ultima_calibracion,hora_ultima_calibracion
26.02,55.97,0.06,2008.5,4/4/2025,9:13:10,98.88,1,277,0.06,1,4/4/2025,9:09:35
26.36,55.94,0.06,2008,4/4/2025,9:13:22,98.83,1,278,0.06,1,4/4/2025,9:09:35
26.55,55.89,0.07,2004.5,4/4/2025,9:13:34,98.78,1,279,0.07,1,4/4/2025,9:09:35
26.43,55.31,0.07,2008,4/4/2025,9:13:46,98.74,1,280,0.07,1,4/4/2025,9:09:35
26.46,55.21,0.07,2002.5,4/4/2025,9:13:58,98.69,1,281,0.07,1,4/4/2025,9:09:35
26.51,54.97,0.08,2007,4/4/2025,9:14:10,98.64,1,282,0.08,1,4/4/2025,9:09:35
26.57,54.77,0.08,2004.5,4/4/2025,9:14:22,98.59,1,283,0.08,1,4/4/2025,9:09:35
26.62,54.39,0.08,1992.5,4/4/2025,9:14:34,98.54,1,284,0.08,1,4/4/2025,9:09:35
26.66,54.28,0.09,2011.5,4/4/2025,9:14:46,98.5,1,285,0.09,1,4/4/2025,9:09:35
26.67,54.27,0.09,2005.5,4/4/2025,9:14:58,98.45,1,286,0.09,1,4/4/2025,9:09:35
26.69,54.07,0.09,2001.5,4/4/2025,9:15:10,98.4,1,287,0.09,1,4/4/2025,9:09:35
26.75,54.04,0.1,1960.5,4/4/2025,9:15:22,98.35,1,288,0.1,1,4/4/2025,9:09:35
26.78,54.15,0.1,1995,4/4/2025,9:15:34,98.31,1,289,0.1,1,4/4/2025,9:09:35
26.78,54.08,0.1,1992.5,4/4/2025,9:15:46,98.26,1,290,0.1,1,4/4/2025,9:09:35
26.8,54.09,0.11,1993.5,4/4/2025,9:15:57,98.21,1,291,0.11,1,4/4/2025,9:09:35
27.03,54.67,0.11,2008,4/4/2025,9:16:09,98.17,1,292,0.11,1,4/4/2025,9:09:35
27.34,55.65,0.11,2015.5,4/4/2025,9:16:21,98.12,1,293,0.11,1,4/4/2025,9:09:35
27.47,54.82,0.12,2016,4/4/2025,9:16:33,98.07,1,294,0.12,1,4/4/2025,9:09:35
27.55,54.16,0.12,2016,4/4/2025,9:16:45,98.03,1,295,0.12,1,4/4/2025,9:09:35
27.61,53.66,0.12,2014.5,4/4/2025,9:16:56,97.98,1,296,0.12,1,4/4/2025,9:09:35
27.65,53.28,0.13,2016,4/4/2025,9:17:08,97.93,1,297,0.13,1,4/4/2025,9:09:35
27.69,53.09,0.13,2015.5,4/4/2025,9:17:20,97.88,1,298,0.13,1,4/4/2025,9:09:35
27.71,52.94,0.13,2011,4/4/2025,9:17:32,97.84,1,299,0.13,1,4/4/2025,9:09:35
27.76,52.7,0.14,2008.5,4/4/2025,9:17:44,97.79,1,300,0.14,1,4/4/2025,9:09:35
27.76,52.51,0.14,2016.5,4/4/2025,9:17:56,97.74,1,301,0.14,1,4/4/2025,9:09:35
27.78,52.34,0.14,2017.5,4/4/2025,9:18:07,97.7,1,302,0.14,1,4/4/2025,9:09:35
27.78,52.25,0.15,2014.5,4/4/2025,9:18:19,97.65,1,303,0.15,1,4/4/2025,9:09:35
27.81,52.24,0.15,2013,4/4/2025,9:18:31,97.6,1,304,0.15,1,4/4/2025,9:09:35
27.84,52.09,0.15,2015.5,4/4/2025,9:18:43,97.56,1,305,0.15,1,4/4/2025,9:09:35
27.87,52.01,0.16,2016,4/4/2025,9:18:54,97.51,1,306,0.16,1,4/4/2025,9:09:35
27.91,51.92,0.16,2014.5,4/4/2025,9:19:06,97.46,1,307,0.16,1,4/4/2025,9:09:35
27.94,51.91,0.16,2014,4/4/2025,9:19:18,97.42,1,308,0.16,1,4/4/2025,9:09:35
27.92,51.6,0.17,2016,4/4/2025,9:19:30,97.37,1,309,0.17,1,4/4/2025,9:09:35
27.92,51.5,0.17,2015,4/4/2025,9:19:42,97.32,1,310,0.17,1,4/4/2025,9:09:35
27.94,51.48,0.17,2014.5,4/4/2025,9:19:54,97.27,1,311,0.17,1,4/4/2025,9:09:35
27.93,51.34,0.18,2010,4/4/2025,9:20:06,97.22,1,312,0.18,1,4/4/2025,9:09:35
27.94,51.28,0.18,2015.5,4/4/2025,9:20:18,97.18,1,313,0.18,1,4/4/2025,9:09:35
27.99,51.25,0.18,2018.5,4/4/2025,9:20:30,97.13,1,314,0.18,1,4/4/2025,9:09:35
28.02,51.25,0.19,2013.5,4/4/2025,9:20:42,97.08,1,315,0.19,1,4/4/2025,9:09:35
28.05,51.25,0.19,2022.5,4/4/2025,9:20:54,97.04,1,316,0.19,1,4/4/2025,9:09:35
28.05,51.25,0.19,2012.5,4/4/2025,9:21:05,96.99,1,317,0.19,1,4/4/2025,9:09:35
28.08,51.18,0.2,2025.5,4/4/2025,9:21:19,96.94,1,318,0.2,1,4/4/2025,9:09:35
28.1,51.13,0.2,2014,4/4/2025,9:21:30,96.89,1,319,0.2,1,4/4/2025,9:09:35
28.12,51.1,0.2,2010.5,4/4/2025,9:21:42,96.84,1,320,0.2,1,4/4/2025,9:09:35
28.13,50.9,0.21,2013.5,4/4/2025,9:21:54,96.8,1,321,0.21,1,4/4/2025,9:09:35
28.11,50.7,0.21,2008,4/4/2025,9:22:06,96.75,1,322,0.21,1,4/4/2025,9:09:35
28.12,50.52,0.21,2014,4/4/2025,9:22:21,96.69,1,323,0.21,1,4/4/2025,9:09:35
28.13,50.42,0.22,2011,4/4/2025,9:22:32,96.64,1,324,0.22,1,4/4/2025,9:09:35
28.14,50.3,0.22,2003,4/4/2025,9:22:44,96.6,1,325,0.22,1,4/4/2025,9:09:35
28.14,50.14,0.22,2009.5,4/4/2025,9:22:56,96.55,1,326,0.22,1,4/4/2025,9:09:35
28.15,50.07,0.23,2013.5,4/4/2025,9:23:08,96.5,1,327,0.23,1,4/4/2025,9:09:35
28.16,50.04,0.23,2009.5,4/4/2025,9:23:20,96.46,1,328,0.23,1,4/4/2025,9:09:35
28.18,50.11,0.23,2011,4/4/2025,9:23:31,96.41,1,329,0.23,1,4/4/2025,9:09:35
28.2,50.18,0.24,2011.5,4/4/2025,9:23:43,96.36,1,330,0.24,1,4/4/2025,9:09:35
28.24,50.16,0.24,2010.5,4/4/2025,9:23:55,96.32,1,331,0.24,1,4/4/2025,9:09:35
28.26,50.13,0.24,2016.5,4/4/2025,9:24:07,96.27,1,332,0.24,1,4/4/2025,9:09:35
28.25,50.14,0.25,2010.5,4/4/2025,9:24:19,96.22,1,333,0.25,1,4/4/2025,9:09:35
28.29,50.25,0.25,2011.5,4/4/2025,9:24:31,96.17,1,334,0.25,1,4/4/2025,9:09:35
28.3,50.25,0.25,2009.5,4/4/2025,9:24:42,96.13,1,335,0.25,1,4/4/2025,9:09:35
28.33,50.18,0.26,2008,4/4/2025,9:24:54,96.08,1,336,0.26,1,4/4/2025,9:09:35
28.32,50.15,0.26,2010.5,4/4/2025,9:25:06,96.03,1,337,0.26,1,4/4/2025,9:09:35
28.34,50.03,0.26,2009.5,4/4/2025,9:25:18,95.99,1,338,0.26,1,4/4/2025,9:09:35
28.35,49.9,0.27,2012.5,4/4/2025,9:25:30,95.94,1,339,0.27,1,4/4/2025,9:09:35
28.33,49.74,0.27,2008,4/4/2025,9:25:42,95.89,1,340,0.27,1,4/4/2025,9:09:35
28.35,49.67,0.27,2023,4/4/2025,9:25:53,95.84,1,341,0.27,1,4/4/2025,9:09:35
28.36,49.67,0.27,2010,4/4/2025,9:26:05,95.8,1,342,0.28,1,4/4/2025,9:09:35
28.34,49.58,0.28,2010,4/4/2025,9:26:17,95.75,1,343,0.28,1,4/4/2025,9:09:35
28.33,49.56,0.28,2013.5,4/4/2025,9:26:29,95.7,1,344,0.28,1,4/4/2025,9:09:35
28.3,49.46,0.28,2007.5,4/4/2025,9:26:40,95.66,1,345,0.28,1,4/4/2025,9:09:35
28.26,49.64,0.29,2007,4/4/2025,9:26:52,95.61,1,346,0.29,1,4/4/2025,9:09:35
28.23,49.75,0.29,2008,4/4/2025,9:27:04,95.56,1,347,0.29,1,4/4/2025,9:09:35
28.25,49.71,0.29,2027.5,4/4/2025,9:27:16,95.52,1,348,0.29,1,4/4/2025,9:09:35
28.26,49.64,0.3,2009,4/4/2025,9:27:27,95.47,1,349,0.3,1,4/4/2025,9:09:35
28.27,49.53,0.3,2015.5,4/4/2025,9:27:39,95.42,1,350,0.3,1,4/4/2025,9:09:35
28.28,49.44,0.3,2008.5,4/4/2025,9:27:51,95.38,1,351,0.3,1,4/4/2025,9:09:35
28.23,49.23,0.31,2014.5,4/4/2025,9:28:03,95.33,1,352,0.31,1,4/4/2025,9:09:35
28.21,49.35,0.31,2008,4/4/2025,9:28:16,95.28,1,353,0.31,1,4/4/2025,9:09:35
28.21,49.39,0.32,2014.5,4/4/2025,9:28:30,95.22,1,354,0.32,1,4/4/2025,9:09:35
28.24,49.42,0.32,2014.5,4/4/2025,9:28:45,95.16,1,355,0.32,1,4/4/2025,9:09:35
28.24,49.39,0.32,2047.5,4/4/2025,9:28:57,95.11,1,356,0.32,1,4/4/2025,9:09:35
28.25,49.28,0.33,2005,4/4/2025,9:29:09,95.07,1,357,0.33,1,4/4/2025,9:09:35
28.26,49.26,0.33,1979.5,4/4/2025,9:29:21,95.02,1,358,0.33,1,4/4/2025,9:09:35
28.25,49.04,0.37,2025.5,4/4/2025,9:31:45,94.45,1,359,0.37,1,4/4/2025,9:09:35
28.26,48.93,0.37,2015.5,4/4/2025,9:31:59,94.39,1,360,0.37,1,4/4/2025,9:09:35
28.23,48.98,0.38,2016,4/4/2025,9:32:11,94.34,1,361,0.38,1,4/4/2025,9:09:35
28.27,48.98,0.38,2014.5,4/4/2025,9:32:23,94.3,1,362,0.38,1,4/4/2025,9:09:35
28.27,48.97,0.38,2015,4/4/2025,9:32:35,94.25,1,363,0.38,1,4/4/2025,9:09:35
28.3,48.89,0.39,2013.5,4/4/2025,9:32:47,94.2,1,364,0.39,1,4/4/2025,9:09:35
28.3,48.87,0.39,2013.5,4/4/2025,9:32:59,94.15,1,365,0.39,1,4/4/2025,9:09:35
28.32,48.88,0.39,2016,4/4/2025,9:33:11,94.11,1,366,0.39,1,4/4/2025,9:09:35
28.3,48.72,0.4,2014.5,4/4/2025,9:33:23,94.06,1,367,0.4,1,4/4/2025,9:09:35
28.31,48.72,0.4,2015,4/4/2025,9:33:34,94.01,1,368,0.4,1,4/4/2025,9:09:35
28.28,48.7,0.4,1939.5,4/4/2025,9:33:46,93.97,1,369,0.4,1,4/4/2025,9:09:35
28.29,48.65,0.41,2015.5,4/4/2025,9:33:58,93.92,1,370,0.41,1,4/4/2025,9:09:35
28.27,48.48,0.41,2013.5,4/4/2025,9:34:10,93.87,1,371,0.41,1,4/4/2025,9:09:35
28.25,48.42,0.41,2008,4/4/2025,9:34:21,93.83,1,372,0.41,1,4/4/2025,9:09:35
28.26,48.49,0.42,2013.5,4/4/2025,9:34:33,93.78,1,373,0.42,1,4/4/2025,9:09:35
28.25,48.51,0.42,1992.5,4/4/2025,9:34:45,93.73,1,374,0.42,1,4/4/2025,9:09:35
28.26,48.51,0.42,2017.5,4/4/2025,9:34:59,93.68,1,375,0.42,1,4/4/2025,9:09:35
28.23,48.56,0.43,2017,4/4/2025,9:35:11,93.63,1,376,0.43,1,4/4/2025,9:09:35
28.26,48.6,0.43,2024,4/4/2025,9:35:23,93.58,1,377,0.43,1,4/4/2025,9:09:35
28.28,48.6,0.43,2021.5,4/4/2025,9:35:36,93.53,1,378,0.43,1,4/4/2025,9:09:35
28.25,48.59,0.44,2015,4/4/2025,9:35:48,93.48,1,379,0.44,1,4/4/2025,9:09:35
28.27,48.55,0.44,2014,4/4/2025,9:35:59,93.44,1,380,0.44,1,4/4/2025,9:09:35
28.24,48.54,0.44,2016,4/4/2025,9:36:11,93.39,1,381,0.44,1,4/4/2025,9:09:35
28.25,48.56,0.45,2029.5,4/4/2025,9:36:23,93.34,1,382,0.45,1,4/4/2025,9:09:35
28.26,48.55,0.45,2016.5,4/4/2025,9:36:34,93.3,1,383,0.45,1,4/4/2025,9:09:35
28.29,48.5,0.45,2019,4/4/2025,9:36:46,93.25,1,384,0.45,1,4/4/2025,9:09:35
28.32,48.46,0.46,2016.5,4/4/2025,9:36:58,93.2,1,385,0.46,1,4/4/2025,9:09:35
28.35,48.41,0.46,2005.5,4/4/2025,9:37:10,93.16,1,386,0.46,1,4/4/2025,9:09:35
28.37,48.37,0.46,2017.5,4/4/2025,9:37:22,93.11,1,387,0.46,1,4/4/2025,9:09:35
28.41,48.33,0.47,2017.5,4/4/2025,9:37:34,93.06,1,388,0.47,1,4/4/2025,9:09:35
28.43,48.28,0.47,2015.5,4/4/2025,9:37:46,93.01,1,389,0.47,1,4/4/2025,9:09:35
28.45,48.26,0.47,2015.5,4/4/2025,9:37:57,92.97,1,390,0.47,1,4/4/2025,9:09:35
28.47,48.16,0.48,2014,4/4/2025,9:38:09,92.92,1,391,0.48,1,4/4/2025,9:09:35
28.46,48.1,0.48,2019,4/4/2025,9:38:21,92.88,1,392,0.48,1,4/4/2025,9:09:35
28.45,48.08,0.48,2016,4/4/2025,9:38:32,92.83,1,393,0.48,1,4/4/2025,9:09:35
28.44,48.1,0.49,2013.5,4/4/2025,9:38:44,92.78,1,394,0.49,1,4/4/2025,9:09:35
28.46,48.13,0.49,2017,4/4/2025,9:38:56,92.73,1,395,0.49,1,4/4/2025,9:09:35
28.47,48.11,0.49,2030.5,4/4/2025,9:39:08,92.69,1,396,0.49,1,4/4/2025,9:09:35
28.45,48.12,0.5,2019,4/4/2025,9:39:20,92.64,1,397,0.5,1,4/4/2025,9:09:35
28.47,48.1,0.5,2017,4/4/2025,9:39:32,92.59,1,398,0.5,1,4/4/2025,9:09:35
28.44,48.08,0.5,2011,4/4/2025,9:39:43,92.55,1,399,0.5,1,4/4/2025,9:09:35
28.44,48.04,0.51,2016,4/4/2025,9:39:55,92.5,1,400,0.51,1,4/4/2025,9:09:35
28.46,48.03,0.51,2021,4/4/2025,9:40:07,92.45,1,401,0.51,1,4/4/2025,9:09:35
28.42,48.02,0.51,2018.5,4/4/2025,9:40:19,92.41,1,402,0.51,1,4/4/2025,9:09:35
28.43,48.02,0.52,2017,4/4/2025,9:40:31,92.36,1,403,0.52,1,4/4/2025,9:09:35
28.41,48.02,0.52,2021.5,4/4/2025,9:40:42,92.31,1,404,0.52,1,4/4/2025,9:09:35
28.43,48.01,0.52,2023.5,4/4/2025,9:40:54,92.26,1,405,0.52,1,4/4/2025,9:09:35
28.43,47.97,0.53,2021.5,4/4/2025,9:41:06,92.22,1,406,0.53,1,4/4/2025,9:09:35
28.44,47.97,0.53,2018.5,4/4/2025,9:41:18,92.17,1,407,0.53,1,4/4/2025,9:09:35
28.43,47.94,0.53,2032.5,4/4/2025,9:41:30,92.12,1,408,0.53,1,4/4/2025,9:09:35
28.44,47.92,0.54,2017.5,4/4/2025,9:41:41,92.08,1,409,0.54,1,4/4/2025,9:09:35
28.44,47.9,0.54,2016.5,4/4/2025,9:41:53,92.03,1,410,0.54,1,4/4/2025,9:09:35
28.45,47.85,0.54,2023.5,4/4/2025,9:42:05,91.98,1,411,0.54,1,4/4/2025,9:09:35
28.42,47.88,0.55,2021,4/4/2025,9:42:17,91.93,1,412,0.55,1,4/4/2025,9:09:35
28.43,47.88,0.55,2017,4/4/2025,9:42:29,91.89,1,413,0.55,1,4/4/2025,9:09:35
28.44,47.87,0.55,2045.5,4/4/2025,9:42:40,91.84,1,414,0.55,1,4/4/2025,9:09:35
28.44,47.85,0.55,2019,4/4/2025,9:42:52,91.79,1,415,0.55,1,4/4/2025,9:09:35
28.44,47.9,0.56,2019,4/4/2025,9:43:04,91.75,1,416,0.56,1,4/4/2025,9:09:35
28.42,47.89,0.56,2023.5,4/4/2025,9:43:16,91.7,1,417,0.56,1,4/4/2025,9:09:35
28.38,47.81,0.56,2021.5,4/4/2025,9:43:28,91.65,1,418,0.56,1,4/4/2025,9:09:35
28.28,47.76,0.57,2021.5,4/4/2025,9:43:40,91.61,1,419,0.57,1,4/4/2025,9:09:35
28.27,47.86,0.57,2021.5,4/4/2025,9:43:52,91.56,1,420,0.57,1,4/4/2025,9:09:35
28.27,47.89,0.57,2024,4/4/2025,9:44:03,91.51,1,421,0.57,1,4/4/2025,9:09:35
28.24,48,0.58,1987.5,4/4/2025,9:44:15,91.47,1,422,0.58,1,4/4/2025,9:09:35
28.24,48.01,0.58,2024,4/4/2025,9:44:27,91.42,1,423,0.58,1,4/4/2025,9:09:35
28.26,48,0.58,2025.5,4/4/2025,9:44:38,91.37,1,424,0.58,1,4/4/2025,9:09:35
28.27,47.97,0.59,2022.5,4/4/2025,9:44:50,91.33,1,425,0.59,1,4/4/2025,9:09:35
28.28,47.96,0.59,2029.5,4/4/2025,9:45:02,91.28,1,426,0.59,1,4/4/2025,9:09:35
28.34,47.95,0.59,2023.5,4/4/2025,9:45:14,91.23,1,427,0.59,1,4/4/2025,9:09:35
28.34,48.02,0.6,2026,4/4/2025,9:45:26,91.18,1,428,0.6,1,4/4/2025,9:09:35
28.35,48.06,0.6,2024,4/4/2025,9:45:38,91.14,1,429,0.6,1,4/4/2025,9:09:35
28.33,47.95,0.6,2019,4/4/2025,9:45:50,91.09,1,430,0.6,1,4/4/2025,9:09:35
28.35,47.9,0.61,2024,4/4/2025,9:46:02,91.04,1,431,0.61,1,4/4/2025,9:09:35
28.35,47.91,0.61,2025.5,4/4/2025,9:46:13,91,1,432,0.61,1,4/4/2025,9:09:35
28.35,47.9,0.61,2025.5,4/4/2025,9:46:25,90.95,1,433,0.61,1,4/4/2025,9:09:35
28.35,47.87,0.62,2021.5,4/4/2025,9:46:37,90.9,1,434,0.62,1,4/4/2025,9:09:35
28.31,47.85,0.62,2024,4/4/2025,9:46:48,90.86,1,435,0.62,1,4/4/2025,9:09:35
28.27,47.82,0.62,2027,4/4/2025,9:47:00,90.81,1,436,0.62,1,4/4/2025,9:09:35
28.2,47.76,0.63,2023,4/4/2025,9:47:12,90.76,1,437,0.63,1,4/4/2025,9:09:35
28.21,47.9,0.63,2024,4/4/2025,9:47:24,90.71,1,438,0.63,1,4/4/2025,9:09:35
28.22,47.95,0.63,2019.5,4/4/2025,9:47:36,90.67,1,439,0.63,1,4/4/2025,9:09:35
28.21,47.92,0.64,2026,4/4/2025,9:47:48,90.62,1,440,0.64,1,4/4/2025,9:09:35
28.19,47.95,0.64,2024,4/4/2025,9:48:00,90.57,1,441,0.64,1,4/4/2025,9:09:35
28.16,48,0.64,2027.5,4/4/2025,9:48:11,90.53,1,442,0.64,1,4/4/2025,9:09:35
28.17,48.03,0.65,2024,4/4/2025,9:48:23,90.48,1,443,0.65,1,4/4/2025,9:09:35
28.19,48.03,0.65,2024.5,4/4/2025,9:48:35,90.43,1,444,0.65,1,4/4/2025,9:09:35
28.21,48.03,0.65,1999.5,4/4/2025,9:48:47,90.39,1,445,0.65,1,4/4/2025,9:09:35
28.22,47.99,0.66,2025.5,4/4/2025,9:48:59,90.34,1,446,0.66,1,4/4/2025,9:09:35
28.26,47.95,0.66,2038,4/4/2025,9:49:10,90.29,1,447,0.66,1,4/4/2025,9:09:35
28.23,47.85,0.66,2024.5,4/4/2025,9:49:22,90.25,1,448,0.66,1,4/4/2025,9:09:35
28.23,47.9,0.67,2027.5,4/4/2025,9:49:34,90.2,1,449,0.67,1,4/4/2025,9:09:35
28.2,47.89,0.67,2027,4/4/2025,9:49:46,90.15,1,450,0.67,1,4/4/2025,9:09:35
28.21,47.89,0.67,2025.5,4/4/2025,9:49:57,90.11,1,451,0.67,1,4/4/2025,9:09:35
28.23,47.9,0.68,2030.5,4/4/2025,9:50:09,90.06,1,452,0.68,1,4/4/2025,9:09:35
28.22,47.93,0.68,2028.5,4/4/2025,9:50:21,90.01,1,453,0.68,1,4/4/2025,9:09:35
28.24,47.92,0.68,2029.5,4/4/2025,9:50:33,89.97,1,454,0.68,1,4/4/2025,9:09:35
28.23,47.89,0.69,2029,4/4/2025,9:50:44,89.92,1,455,0.69,1,4/4/2025,9:09:35
28.25,47.87,0.69,2024,4/4/2025,9:50:56,89.87,1,456,0.69,1,4/4/2025,9:09:35
28.24,47.82,0.69,2024.5,4/4/2025,9:51:08,89.83,1,457,0.69,1,4/4/2025,9:09:35
28.26,47.8,0.7,2025,4/4/2025,9:51:20,89.78,1,458,0.7,1,4/4/2025,9:09:35
28.28,47.75,0.7,2026,4/4/2025,9:51:31,89.73,1,459,0.7,1,4/4/2025,9:09:35
28.29,47.69,0.7,2009,4/4/2025,9:51:43,89.69,1,460,0.7,1,4/4/2025,9:09:35
28.27,47.72,0.71,2023,4/4/2025,9:51:55,89.64,1,461,0.71,1,4/4/2025,9:09:35
28.23,47.75,0.71,2031,4/4/2025,9:52:07,89.59,1,462,0.71,1,4/4/2025,9:09:35
28.26,47.8,0.71,2033,4/4/2025,9:52:19,89.54,1,463,0.71,1,4/4/2025,9:09:35
28.28,47.81,0.72,2030,4/4/2025,9:52:31,89.5,1,464,0.72,1,4/4/2025,9:09:35
28.3,47.84,0.72,2029.5,4/4/2025,9:52:43,89.45,1,465,0.72,1,4/4/2025,9:09:35
28.32,47.73,0.72,2034.5,4/4/2025,9:52:55,89.4,1,466,0.72,1,4/4/2025,9:09:35
28.27,47.76,0.73,2030.5,4/4/2025,9:53:07,89.35,1,467,0.73,1,4/4/2025,9:09:35
28.26,47.77,0.73,2033,4/4/2025,9:53:19,89.31,1,468,0.73,1,4/4/2025,9:09:35
28.28,47.75,0.73,2029.5,4/4/2025,9:53:30,89.26,1,469,0.73,1,4/4/2025,9:09:35
28.31,47.73,0.74,1971,4/4/2025,9:53:42,89.21,1,470,0.74,1,4/4/2025,9:09:35
28.34,47.63,0.74,2046,4/4/2025,9:53:54,89.16,1,471,0.74,1,4/4/2025,9:09:35
28.39,47.55,0.74,2032.5,4/4/2025,9:54:06,89.12,1,472,0.74,1,4/4/2025,9:09:35
28.42,47.55,0.75,2027,4/4/2025,9:54:18,89.07,1,473,0.75,1,4/4/2025,9:09:35
28.42,47.48,0.75,2025.5,4/4/2025,9:54:30,89.02,1,474,0.75,1,4/4/2025,9:09:35
28.45,47.51,0.75,2029.5,4/4/2025,9:54:41,88.98,1,475,0.75,1,4/4/2025,9:09:35
28.44,47.52,0.76,2032.5,4/4/2025,9:54:54,88.93,1,476,0.76,1,4/4/2025,9:09:35
28.42,47.47,0.76,2032.5,4/4/2025,9:55:06,88.88,1,477,0.76,1,4/4/2025,9:09:35
28.43,47.42,0.76,2039.5,4/4/2025,9:55:17,88.83,1,478,0.76,1,4/4/2025,9:09:35
28.42,47.42,0.76,2022,4/4/2025,9:55:29,88.79,1,479,0.76,1,4/4/2025,9:09:35
28.41,47.43,0.77,2042.5,4/4/2025,9:55:41,88.74,1,480,0.77,1,4/4/2025,9:09:35
28.41,47.45,0.77,2032.5,4/4/2025,9:55:53,88.69,1,481,0.77,1,4/4/2025,9:09:35
28.4,47.45,0.77,2031.5,4/4/2025,9:56:05,88.65,1,482,0.78,1,4/4/2025,9:09:35
28.38,47.39,0.78,2037.5,4/4/2025,9:56:16,88.6,1,483,0.78,1,4/4/2025,9:09:35
28.36,47.33,0.78,2033,4/4/2025,9:56:28,88.55,1,484,0.78,1,4/4/2025,9:09:35
28.38,47.32,0.78,2033.5,4/4/2025,9:56:40,88.5,1,485,0.78,1,4/4/2025,9:09:35
28.38,47.27,0.79,2038.5,4/4/2025,9:56:52,88.46,1,486,0.79,1,4/4/2025,9:09:35
28.39,47.21,0.79,2033,4/4/2025,9:57:04,88.41,1,487,0.79,1,4/4/2025,9:09:35
28.36,47.29,0.79,2034.5,4/4/2025,9:57:16,88.36,1,488,0.79,1,4/4/2025,9:09:35
28.41,47.37,0.8,2029.5,4/4/2025,9:57:28,88.31,1,489,0.8,1,4/4/2025,9:09:35
28.41,47.45,0.8,2030.5,4/4/2025,9:57:40,88.27,1,490,0.8,1,4/4/2025,9:09:35
28.4,47.4,0.8,2032.5,4/4/2025,9:57:52,88.22,1,491,0.8,1,4/4/2025,9:09:35
28.42,47.35,0.81,2031.5,4/4/2025,9:58:06,88.16,1,492,0.81,1,4/4/2025,9:09:35
28.42,47.31,0.81,2033.5,4/4/2025,9:58:18,88.11,1,493,0.81,1,4/4/2025,9:09:35
28.44,47.2,0.82,2024,4/4/2025,9:58:30,88.07,1,494,0.82,1,4/4/2025,9:09:35
28.41,47.48,0.82,2032.5,4/4/2025,9:58:42,88.02,1,495,0.82,1,4/4/2025,9:09:35
28.4,47.43,0.82,2030.5,4/4/2025,9:58:53,87.98,1,496,0.82,1,4/4/2025,9:09:35
28.4,47.35,0.82,2034.5,4/4/2025,9:59:05,87.93,1,497,0.82,1,4/4/2025,9:09:35
28.38,47.31,0.83,2037.5,4/4/2025,9:59:17,87.88,1,498,0.83,1,4/4/2025,9:09:35
28.37,47.35,0.83,2033,4/4/2025,9:59:28,87.84,1,499,0.83,1,4/4/2025,9:09:35
28.32,47.25,0.83,2036.5,4/4/2025,9:59:40,87.79,1,500,0.83,1,4/4/2025,9:09:35
28.3,47.34,0.84,2047,4/4/2025,9:59:52,87.74,1,501,0.84,1,4/4/2025,9:09:35
28.29,47.38,0.84,2033,4/4/2025,10:00:04,87.69,1,502,0.84,1,4/4/2025,9:09:35
28.29,47.42,0.84,2024.5,4/4/2025,10:00:16,87.65,1,503,0.84,1,4/4/2025,9:09:35
