temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria,ciclo_bateria,gas_crudo,,,,
28.42,49.17,0.13,2047.5,4/28/2025,17:08:46,98.37,1,4095,,,,
28.48,49.12,0.14,2047.5,4/28/2025,17:08:58,98.28,1,4095,,,,
28.51,49.02,0.14,2047.5,4/28/2025,17:09:09,98.21,1,4095,,,,
28.58,48.9,0.14,2047.5,4/28/2025,17:09:21,98.12,1,4095,,,,
28.62,48.75,0.15,2047.5,4/28/2025,17:09:33,98.03,1,4095,,,,
28.67,48.63,0.15,2047.5,4/28/2025,17:09:44,97.96,1,4095,,,,
28.69,48.54,0.15,2047.5,4/28/2025,17:09:56,97.87,1,4095,,,,
28.76,48.48,0.16,2047.5,4/28/2025,17:10:08,97.78,1,4095,,,,
28.79,48.47,0.16,2047.5,4/28/2025,17:10:19,97.71,1,4095,,,,
28.82,48.4,0.16,2047.5,4/28/2025,17:10:31,97.62,1,4095,,,,
28.88,48.36,0.16,2047.5,4/28/2025,17:10:43,97.54,1,4095,,,,
28.92,48.32,0.17,2047.5,4/28/2025,17:10:55,97.45,1,4095,,,,
28.95,48.25,0.17,2047.5,4/28/2025,17:11:07,97.36,1,4095,,,,
28.99,48.16,0.17,2047.5,4/28/2025,17:11:18,97.29,1,4095,,,,
29.01,48.06,0.18,2047.5,4/28/2025,17:11:33,97.18,1,4095,,,,
29.05,48.01,0.18,2047.5,4/28/2025,17:11:45,97.09,1,4095,,,,
29.07,47.96,0.19,2047.5,4/28/2025,17:11:57,97.01,1,4095,,,,
29.09,47.95,0.19,2047.5,4/28/2025,17:12:08,96.93,1,4095,,,,
29.12,47.91,0.19,2047.5,4/28/2025,17:12:20,96.84,1,4095,,,,
29.14,47.88,0.2,2047.5,4/28/2025,17:12:32,96.76,1,4095,,,,
29.16,47.81,0.2,2047.5,4/28/2025,17:12:44,96.67,1,4095,,,,
29.19,47.77,0.2,2047.5,4/28/2025,17:12:57,96.58,1,4095,,,,
29.21,47.74,0.2,2047.5,4/28/2025,17:13:08,96.5,1,4095,,,,
29.23,47.75,0.21,2047.5,4/28/2025,17:13:23,96.4,1,4095,,,,
29.24,47.8,0.21,2047.5,4/28/2025,17:13:35,96.31,1,4095,,,,
29.27,47.67,0.22,2047.5,4/28/2025,17:13:50,96.2,1,4095,,,,
29.32,47.67,0.22,2047.5,4/28/2025,17:14:12,96.05,1,4095,,,,
29.33,47.64,0.23,2047.5,4/28/2025,17:14:25,95.95,1,4095,,,,
29.34,47.63,0.23,2047.5,4/28/2025,17:14:37,95.87,1,4095,,,,
29.36,47.6,0.23,2047.5,4/28/2025,17:14:55,95.74,1,4095,,,,
29.35,47.58,0.24,2047.5,4/28/2025,17:15:07,95.66,1,4095,,,,
29.37,47.53,0.24,2047.5,4/28/2025,17:15:19,95.57,1,4095,,,,
29.38,47.53,0.24,2047.5,4/28/2025,17:15:31,95.48,1,4095,,,,
29.38,47.51,0.25,2047.5,4/28/2025,17:15:43,95.4,1,4095,,,,
29.4,47.48,0.25,2047.5,4/28/2025,17:15:54,95.32,1,4095,,,,
29.39,47.48,0.25,2047.5,4/28/2025,17:16:06,95.24,1,4095,,,,
29.4,47.49,0.26,2047.5,4/28/2025,17:16:18,95.15,1,4095,,,,
29.41,47.45,0.26,2047.5,4/28/2025,17:16:30,95.06,1,4095,,,,
29.42,47.45,0.26,2047.5,4/28/2025,17:16:44,94.96,1,4095,,,,
29.42,47.43,0.27,2047.5,4/28/2025,17:16:58,94.86,1,4095,,,,
29.43,47.44,0.27,2047.5,4/28/2025,17:17:10,94.78,1,4095,,,,
29.41,47.44,0.28,2047.5,4/28/2025,17:17:21,94.7,1,4095,,,,
29.43,47.38,0.28,2047.5,4/28/2025,17:17:33,94.62,1,4095,,,,
29.44,47.37,0.28,2047.5,4/28/2025,17:17:45,94.53,1,4095,,,,
29.43,47.39,0.29,2047.5,4/28/2025,17:17:57,94.44,1,4095,,,,
29.45,47.36,0.29,2047.5,4/28/2025,17:18:08,94.37,1,4095,,,,
29.45,47.42,0.29,2047.5,4/28/2025,17:18:21,94.27,1,4095,,,,
29.45,47.41,0.3,2047.5,4/28/2025,17:18:32,94.2,1,4095,,,,
29.41,47.49,0.3,2047.5,4/28/2025,17:18:44,94.11,1,4095,,,,
29.37,47.55,0.3,2047.5,4/28/2025,17:18:55,94.03,1,4095,,,,
29.39,47.58,0.3,2047.5,4/28/2025,17:19:07,93.95,1,4095,,,,
29.39,47.57,0.31,2047.5,4/28/2025,17:19:19,93.86,1,4095,,,,
29.4,47.55,0.31,2047.5,4/28/2025,17:19:31,93.77,1,4095,,,,
29.41,47.47,0.31,2047.5,4/28/2025,17:19:43,93.69,1,4095,,,,
29.44,47.45,0.32,2047.5,4/28/2025,17:19:58,93.58,1,4095,,,,
29.43,47.48,0.32,2047.5,4/28/2025,17:20:12,93.48,1,4095,,,,
29.43,47.46,0.33,2047.5,4/28/2025,17:20:24,93.4,1,4095,,,,
29.43,47.48,0.33,2047.5,4/28/2025,17:20:38,93.3,1,4095,,,,
29.46,47.44,0.33,2047.5,4/28/2025,17:20:50,93.21,1,4095,,,,
29.46,47.44,0.34,2047.5,4/28/2025,17:21:01,93.13,1,4095,,,,
29.46,47.37,0.34,2047.5,4/28/2025,17:21:13,93.05,1,4095,,,,
29.47,47.43,0.34,2047.5,4/28/2025,17:21:25,92.96,1,4095,,,,
29.48,47.4,0.35,2047.5,4/28/2025,17:21:37,92.88,1,4095,,,,
29.5,47.4,0.35,2047.5,4/28/2025,17:21:50,92.78,1,4095,,,,
29.51,47.33,0.35,2047.5,4/28/2025,17:22:01,92.71,1,4095,,,,
29.5,47.32,0.36,2047.5,4/28/2025,17:22:13,92.62,1,4095,,,,
29.52,47.33,0.36,2047.5,4/28/2025,17:22:25,92.54,1,4095,,,,
29.51,47.31,0.36,2047.5,4/28/2025,17:22:37,92.45,1,4095,,,,
29.52,47.28,0.37,2047.5,4/28/2025,17:22:49,92.36,1,4095,,,,
29.52,47.29,0.37,2047.5,4/28/2025,17:23:00,92.29,1,4095,,,,
29.54,47.27,0.37,2047.5,4/28/2025,17:23:12,92.2,1,4095,,,,
29.52,47.26,0.38,2047.5,4/28/2025,17:23:24,92.12,1,4095,,,,
29.53,47.2,0.38,2047.5,4/28/2025,17:23:36,92.03,1,4095,,,,
29.53,47.21,0.38,2047.5,4/28/2025,17:23:48,91.94,1,4095,,,,
29.53,47.17,0.39,2047.5,4/28/2025,17:23:59,91.87,1,4095,,,,
29.53,47.23,0.39,2047.5,4/28/2025,17:24:11,91.78,1,4095,,,,
29.52,47.21,0.39,2047.5,4/28/2025,17:24:23,91.7,1,4095,,,,
29.53,47.21,0.4,2047.5,4/28/2025,17:24:34,91.62,1,4095,,,,
29.52,47.14,0.4,2047.5,4/28/2025,17:24:46,91.53,1,4095,,,,
29.52,47.18,0.4,2047.5,4/28/2025,17:24:58,91.45,1,4095,,,,
29.53,47.17,0.41,2047.5,4/28/2025,17:25:10,91.36,1,4095,,,,
29.54,47.16,0.41,2047.5,4/28/2025,17:25:21,91.28,1,4095,,,,
29.54,47.21,0.41,2047.5,4/28/2025,17:25:33,91.2,1,4095,,,,
29.54,47.16,0.42,2047.5,4/28/2025,17:25:45,91.11,1,4095,,,,
29.54,47.17,0.42,2047.5,4/28/2025,17:25:57,91.03,1,4095,,,,
29.54,47.2,0.42,2047.5,4/28/2025,17:26:11,90.93,1,4095,,,,
29.53,47.22,0.43,2047.5,4/28/2025,17:26:23,90.84,1,4095,,,,
29.52,47.2,0.43,2047.5,4/28/2025,17:26:35,90.75,1,4095,,,,
29.51,47.19,0.43,2047.5,4/28/2025,17:26:46,90.68,1,4095,,,,
29.52,47.24,0.44,2047.5,4/28/2025,17:26:58,90.59,1,4095,,,,
29.49,47.22,0.44,2047.5,4/28/2025,17:27:10,90.51,1,4095,,,,
29.48,47.23,0.44,2047.5,4/28/2025,17:27:21,90.43,1,4095,,,,
29.47,47.25,0.45,2047.5,4/28/2025,17:27:33,90.34,1,4095,,,,
29.46,47.23,0.45,2047.5,4/28/2025,17:27:45,90.26,1,4095,,,,
29.46,47.26,0.45,2047.5,4/28/2025,17:27:56,90.18,1,4095,,,,
29.45,47.27,0.46,2047.5,4/28/2025,17:28:09,90.09,1,4095,,,,
29.44,47.3,0.46,2047.5,4/28/2025,17:28:21,90,1,4095,,,,
29.45,47.33,0.46,2047.5,4/28/2025,17:28:32,89.92,1,4095,,,,
29.45,47.35,0.46,2047.5,4/28/2025,17:28:44,89.84,1,4095,,,,
29.43,47.32,0.47,2047.5,4/28/2025,17:28:58,89.74,1,4095,,,,
29.42,47.33,0.47,2047.5,4/28/2025,17:29:10,89.65,1,4095,,,,
29.41,47.39,0.48,2047.5,4/28/2025,17:29:21,89.57,1,4095,,,,
29.41,47.39,0.48,2047.5,4/28/2025,17:29:33,89.49,1,4095,,,,
29.41,47.4,0.48,2047.5,4/28/2025,17:29:45,89.4,1,4095,,,,
29.41,47.38,0.49,2047.5,4/28/2025,17:29:58,89.31,1,4095,,,,
29.39,47.42,0.49,2047.5,4/28/2025,17:30:09,89.23,1,4095,,,,
29.39,47.42,0.49,2047.5,4/28/2025,17:30:21,89.15,1,4095,,,,
29.38,47.45,0.5,2047.5,4/28/2025,17:30:33,89.06,1,4095,,,,
29.39,47.43,0.5,2047.5,4/28/2025,17:30:45,88.97,1,4095,,,,
29.35,47.48,0.5,2047.5,4/28/2025,17:30:56,88.9,1,4095,,,,
29.36,47.47,0.5,2047.5,4/28/2025,17:31:08,88.81,1,4095,,,,
29.35,47.44,0.51,2047.5,4/28/2025,17:31:20,88.73,1,4095,,,,
29.36,47.49,0.51,2047.5,4/28/2025,17:31:31,88.65,1,4095,,,,
29.35,47.48,0.51,2047.5,4/28/2025,17:31:43,88.56,1,4095,,,,
29.34,47.45,0.52,2047.5,4/28/2025,17:31:55,88.48,1,4095,,,,
29.3,47.51,0.52,2047.5,4/28/2025,17:32:06,88.4,1,4095,,,,
29.28,47.54,0.52,2047.5,4/28/2025,17:32:18,88.31,1,4095,,,,
29.22,47.62,0.53,2047.5,4/28/2025,17:32:30,88.23,1,4095,,,,
29.19,47.67,0.53,2047.5,4/28/2025,17:32:42,88.14,1,4095,,,,
29.15,47.71,0.53,2047.5,4/28/2025,17:32:53,88.06,1,4095,,,,
29.14,47.68,0.54,2047.5,4/28/2025,17:33:05,87.98,1,4095,,,,
29.13,47.67,0.54,2047.5,4/28/2025,17:33:17,87.89,1,4095,,,,
29.14,47.62,0.54,2047.5,4/28/2025,17:33:28,87.81,1,4095,,,,
29.15,47.63,0.55,2047.5,4/28/2025,17:33:40,87.73,1,4095,,,,
29.14,47.55,0.55,2047.5,4/28/2025,17:33:52,87.64,1,4095,,,,
29.14,47.56,0.55,2041.5,4/28/2025,17:34:03,87.56,1,4083,,,,
29.15,47.51,0.56,2047.5,4/28/2025,17:34:15,87.48,1,4095,,,,
29.13,47.5,0.56,2041.5,4/28/2025,17:34:27,87.39,1,4083,,,,
29.15,47.47,0.56,2047.5,4/28/2025,17:34:39,87.31,1,4095,,,,
29.13,47.45,0.57,2047.5,4/28/2025,17:34:50,87.23,1,4095,,,,
29.14,47.45,0.57,2047.5,4/28/2025,17:35:02,87.14,1,4095,,,,
29.12,47.42,0.57,2047.5,4/28/2025,17:35:14,87.06,1,4095,,,,
29.13,47.42,0.58,2047.5,4/28/2025,17:35:25,86.98,1,4095,,,,
29.1,47.37,0.58,2047.5,4/28/2025,17:35:37,86.89,1,4095,,,,
29.11,47.36,0.58,2035.5,4/28/2025,17:35:49,86.81,1,4071,,,,
29.09,47.34,0.59,2039.5,4/28/2025,17:36:00,86.73,1,4079,,,,
29.08,47.34,0.59,2043.5,4/28/2025,17:36:12,86.65,1,4087,,,,
29.07,47.37,0.59,2035.5,4/28/2025,17:36:24,86.56,1,4071,,,,
29.05,47.4,0.6,2031.5,4/28/2025,17:36:36,86.47,1,4063,,,,
29.03,47.41,0.6,2031.5,4/28/2025,17:36:47,86.4,1,4063,,,,
29.03,47.34,0.6,2031.5,4/28/2025,17:36:59,86.31,1,4063,,,,
29.01,47.36,0.61,2039.5,4/28/2025,17:37:11,86.23,1,4079,,,,
28.99,47.39,0.61,2031.5,4/28/2025,17:37:23,86.14,1,4063,,,,
28.98,47.45,0.61,2023.5,4/28/2025,17:37:34,86.06,1,4047,,,,
28.96,47.49,0.62,2031.5,4/28/2025,17:37:46,85.98,1,4063,,,,
24.79,54.97,1,2047.5,4/28/2025,18:01:01,99.76,1,4095,,,,
24.87,55.02,1.01,2047.5,4/28/2025,18:01:13,99.68,1,4095,,,,
24.98,54.97,1.01,2047.5,4/28/2025,18:01:25,99.59,1,4095,,,,
25.14,54.89,1.01,2047.5,4/28/2025,18:01:36,99.52,1,4095,,,,
25.32,54.7,1.02,2047.5,4/28/2025,18:01:48,99.43,1,4095,,,,
25.48,54.46,1.02,2047.5,4/28/2025,18:02:00,99.34,1,4095,,,,
25.67,54.15,1.02,2047.5,4/28/2025,18:02:11,99.27,1,4095,,,,
25.87,53.86,1.03,2047.5,4/28/2025,18:02:23,99.18,1,4095,,,,
26.09,53.55,1.03,2047.5,4/28/2025,18:02:34,99.1,1,4095,,,,
26.3,53.23,1.03,2047.5,4/28/2025,18:02:46,99.02,1,4095,,,,
26.48,52.82,1.04,2047.5,4/28/2025,18:02:58,98.93,1,4095,,,,
26.66,52.49,1.04,2047.5,4/28/2025,18:03:09,98.85,1,4095,,,,
26.81,52.2,1.04,2047.5,4/28/2025,18:03:21,98.77,1,4095,,,,
27.01,51.86,1.05,2047.5,4/28/2025,18:03:33,98.68,1,4095,,,,
27.14,51.48,1.05,2047.5,4/28/2025,18:03:45,98.6,1,4095,,,,
27.31,51.21,1.05,2047.5,4/28/2025,18:03:56,98.52,1,4095,,,,
27.46,50.94,1.06,2047.5,4/28/2025,18:04:08,98.43,1,4095,,,,
27.61,50.64,1.06,2047.5,4/28/2025,18:04:20,98.35,1,4095,,,,
27.76,50.36,1.06,2047.5,4/28/2025,18:04:31,98.27,1,4095,,,,
27.9,50.05,1.06,2047.5,4/28/2025,18:04:43,98.18,1,4095,,,,
28.04,49.75,1.07,2047.5,4/28/2025,18:04:55,98.1,1,4095,,,,
28.15,49.47,1.07,2047.5,4/28/2025,18:05:07,98.01,1,4095,,,,
28.26,49.32,1.07,2047.5,4/28/2025,18:05:18,97.93,1,4095,,,,
28.38,49.07,1.08,2047.5,4/28/2025,18:05:30,97.85,1,4095,,,,
28.48,48.96,1.08,2047.5,4/28/2025,18:05:41,97.77,1,4095,,,,
28.57,48.79,1.08,2047.5,4/28/2025,18:05:53,97.69,1,4095,,,,
28.67,48.61,1.09,2047.5,4/28/2025,18:06:05,97.6,1,4095,,,,
28.79,48.38,1.09,2047.5,4/28/2025,18:06:17,97.51,1,4095,,,,
28.85,48.26,1.09,2047.5,4/28/2025,18:06:29,97.43,1,4095,,,,
28.95,48.13,1.1,2047.5,4/28/2025,18:06:40,97.35,1,4095,,,,
29.03,47.96,1.1,2047.5,4/28/2025,18:06:52,97.26,1,4095,,,,
29.11,47.82,1.1,2047.5,4/28/2025,18:07:04,97.18,1,4095,,,,
29.19,47.73,1.11,2047.5,4/28/2025,18:07:16,97.09,1,4095,,,,
29.24,47.58,1.11,2047.5,4/28/2025,18:07:27,97.02,1,4095,,,,
29.29,47.48,1.11,2047.5,4/28/2025,18:07:40,96.92,1,4095,,,,
29.38,47.37,1.12,2047.5,4/28/2025,18:07:51,96.84,1,4095,,,,
29.44,47.26,1.12,2047.5,4/28/2025,18:08:03,96.76,1,4095,,,,
29.5,47.15,1.12,2047.5,4/28/2025,18:08:14,96.68,1,4095,,,,
29.55,47.08,1.13,2047.5,4/28/2025,18:08:26,96.6,1,4095,,,,
29.62,47.01,1.13,2047.5,4/28/2025,18:08:38,96.51,1,4095,,,,
29.68,46.9,1.13,2047.5,4/28/2025,18:08:50,96.42,1,4095,,,,
29.7,46.79,1.14,2047.5,4/28/2025,18:09:01,96.35,1,4095,,,,
29.76,46.79,1.14,2047.5,4/28/2025,18:09:13,96.26,1,4095,,,,
29.78,46.67,1.14,2047.5,4/28/2025,18:09:25,96.18,1,4095,,,,
29.84,46.63,1.15,2047.5,4/28/2025,18:09:36,96.1,1,4095,,,,
29.89,46.57,1.15,2047.5,4/28/2025,18:09:48,96.01,1,4095,,,,
29.92,46.44,1.15,2047.5,4/28/2025,18:10:00,95.93,1,4095,,,,
29.96,46.49,1.16,2047.5,4/28/2025,18:10:11,95.85,1,4095,,,,
29.99,46.37,1.16,2047.5,4/28/2025,18:10:23,95.76,1,4095,,,,
30.02,46.37,1.16,2047.5,4/28/2025,18:10:35,95.68,1,4095,,,,
30.04,46.33,1.17,2047.5,4/28/2025,18:10:46,95.6,1,4095,,,,
30.08,46.3,1.17,2047.5,4/28/2025,18:10:58,95.51,1,4095,,,,
30.11,46.2,1.17,2047.5,4/28/2025,18:11:10,95.43,1,4095,,,,
30.15,46.12,1.18,2047.5,4/28/2025,18:11:21,95.35,1,4095,,,,
30.14,46.07,1.18,2047.5,4/28/2025,18:11:33,95.26,1,4095,,,,
30.2,46.02,1.18,2047.5,4/28/2025,18:11:45,95.18,1,4095,,,,
30.22,45.98,1.19,2047.5,4/28/2025,18:11:57,95.09,1,4095,,,,
30.24,45.94,1.19,2047.5,4/28/2025,18:12:08,95.01,1,4095,,,,
30.28,45.89,1.19,2047.5,4/28/2025,18:12:20,94.93,1,4095,,,,
30.3,45.85,1.2,2047.5,4/28/2025,18:12:32,94.84,1,4095,,,,
30.32,45.83,1.2,2047.5,4/28/2025,18:12:43,94.76,1,4095,,,,
30.33,45.78,1.2,2047.5,4/28/2025,18:12:55,94.68,1,4095,,,,
30.35,45.74,1.2,2047.5,4/28/2025,18:13:08,94.59,1,4095,,,,
30.38,45.69,1.21,2047.5,4/28/2025,18:13:19,94.51,1,4095,,,,
30.36,45.66,1.21,2047.5,4/28/2025,18:13:31,94.42,1,4095,,,,
30.38,45.68,1.21,2047.5,4/28/2025,18:13:43,94.34,1,4095,,,,
30.42,45.62,1.22,2047.5,4/28/2025,18:13:55,94.25,1,4095,,,,
30.42,45.59,1.22,2047.5,4/28/2025,18:14:06,94.17,1,4095,,,,
30.43,45.57,1.22,2047.5,4/28/2025,18:14:18,94.09,1,4095,,,,
30.45,45.58,1.23,2047.5,4/28/2025,18:14:30,94,1,4095,,,,
30.44,45.54,1.23,2047.5,4/28/2025,18:14:41,93.92,1,4095,,,,
30.45,45.53,1.23,2047.5,4/28/2025,18:14:53,93.84,1,4095,,,,
30.48,45.51,1.24,2047.5,4/28/2025,18:15:05,93.75,1,4095,,,,
30.48,45.48,1.24,2047.5,4/28/2025,18:15:16,93.68,1,4095,,,,
30.46,45.5,1.24,2047.5,4/28/2025,18:15:28,93.59,1,4095,,,,
30.48,45.47,1.25,2047.5,4/28/2025,18:15:40,93.5,1,4095,,,,
30.5,45.49,1.25,2047.5,4/28/2025,18:15:51,93.43,1,4095,,,,
30.5,45.47,1.25,2047.5,4/28/2025,18:16:03,93.34,1,4095,,,,
30.5,45.43,1.26,2047.5,4/28/2025,18:16:15,93.25,1,4095,,,,
30.52,45.44,1.26,2047.5,4/28/2025,18:16:27,93.17,1,4095,,,,
30.53,45.39,1.26,2047.5,4/28/2025,18:16:39,93.08,1,4095,,,,
30.54,45.39,1.27,2047.5,4/28/2025,18:16:50,93.01,1,4095,,,,
30.55,45.39,1.27,2047.5,4/28/2025,18:17:02,92.92,1,4095,,,,
30.56,45.38,1.27,2047.5,4/28/2025,18:17:14,92.83,1,4095,,,,
30.57,45.32,1.28,2047.5,4/28/2025,18:17:26,92.75,1,4095,,,,
30.58,45.37,1.28,2047.5,4/28/2025,18:17:38,92.66,1,4095,,,,
30.59,45.36,1.28,2047.5,4/28/2025,18:17:52,92.56,1,4095,,,,
30.61,45.29,1.29,2047.5,4/28/2025,18:18:04,92.48,1,4095,,,,
30.6,45.3,1.29,2047.5,4/28/2025,18:18:16,92.39,1,4095,,,,
30.61,45.33,1.29,2047.5,4/28/2025,18:18:28,92.31,1,4095,,,,
30.63,45.33,1.3,2047.5,4/28/2025,18:18:40,92.22,1,4095,,,,
30.63,45.27,1.3,2047.5,4/28/2025,18:18:51,92.14,1,4095,,,,
30.62,45.26,1.3,2047.5,4/28/2025,18:19:03,92.06,1,4095,,,,
30.62,45.25,1.31,2047.5,4/28/2025,18:19:15,91.97,1,4095,,,,
30.63,45.3,1.31,2047.5,4/28/2025,18:19:26,91.89,1,4095,,,,
30.63,45.27,1.31,2047.5,4/28/2025,18:19:38,91.81,1,4095,,,,
30.65,45.24,1.32,2047.5,4/28/2025,18:19:50,91.72,1,4095,,,,
30.66,45.24,1.32,2047.5,4/28/2025,18:20:02,91.64,1,4095,,,,
30.66,45.29,1.32,2047.5,4/28/2025,18:20:13,91.56,1,4095,,,,
30.66,45.28,1.33,2047.5,4/28/2025,18:20:25,91.47,1,4095,,,,
30.68,45.25,1.33,2047.5,4/28/2025,18:20:37,91.39,1,4095,,,,
30.66,45.26,1.33,2047.5,4/28/2025,18:20:48,91.31,1,4095,,,,
30.66,45.29,1.34,2047.5,4/28/2025,18:21:00,91.23,1,4095,,,,
30.66,45.27,1.34,2047.5,4/28/2025,18:21:12,91.14,1,4095,,,,
30.66,45.25,1.34,2047.5,4/28/2025,18:21:27,91.03,1,4095,,,,
30.66,45.17,1.35,2047.5,4/28/2025,18:21:39,90.95,1,4095,,,,
30.67,45.21,1.35,2047.5,4/28/2025,18:21:50,90.87,1,4095,,,,
30.66,45.2,1.35,2047.5,4/28/2025,18:22:02,90.78,1,4095,,,,
30.66,45.26,1.36,2047.5,4/28/2025,18:22:14,90.7,1,4095,,,,
30.66,45.22,1.36,2047.5,4/28/2025,18:22:25,90.62,1,4095,,,,
30.66,45.27,1.36,2047.5,4/28/2025,18:22:37,90.53,1,4095,,,,
30.66,45.19,1.37,2047.5,4/28/2025,18:22:56,90.4,1,4095,,,,
30.65,45.23,1.37,2047.5,4/28/2025,18:23:08,90.31,1,4095,,,,
30.66,45.18,1.38,2047.5,4/28/2025,18:23:20,90.23,1,4095,,,,
30.65,45.22,1.38,2047.5,4/28/2025,18:23:31,90.15,1,4095,,,,
30.67,45.19,1.38,2047.5,4/28/2025,18:23:43,90.06,1,4095,,,,
30.68,45.18,1.38,2047.5,4/28/2025,18:23:55,89.98,1,4095,,,,
30.68,45.19,1.39,2047.5,4/28/2025,18:24:06,89.9,1,4095,,,,
30.66,45.17,1.39,2047.5,4/28/2025,18:24:18,89.81,1,4095,,,,
30.67,45.17,1.39,2047.5,4/28/2025,18:24:30,89.73,1,4095,,,,
30.66,45.18,1.4,2047.5,4/28/2025,18:24:42,89.64,1,4095,,,,
30.67,45.19,1.4,2047.5,4/28/2025,18:24:53,89.57,1,4095,,,,
30.64,45.17,1.4,2047.5,4/28/2025,18:25:05,89.48,1,4095,,,,
30.62,45.22,1.41,2047.5,4/28/2025,18:25:17,89.39,1,4095,,,,
30.58,45.32,1.41,2047.5,4/28/2025,18:25:28,89.32,1,4095,,,,
30.57,45.31,1.41,2047.5,4/28/2025,18:25:40,89.23,1,4095,,,,
30.56,45.35,1.42,2047.5,4/28/2025,18:25:52,89.15,1,4095,,,,
30.58,45.32,1.42,2047.5,4/28/2025,18:26:03,89.07,1,4095,,,,
30.57,45.35,1.42,2047.5,4/28/2025,18:26:15,88.98,1,4095,,,,
30.58,45.33,1.43,2047.5,4/28/2025,18:26:27,88.9,1,4095,,,,
30.58,45.32,1.43,2047.5,4/28/2025,18:26:39,88.81,1,4095,,,,
30.59,45.32,1.43,2047.5,4/28/2025,18:26:50,88.73,1,4095,,,,
30.59,45.33,1.44,2047.5,4/28/2025,18:27:02,88.65,1,4095,,,,
30.6,45.32,1.44,2047.5,4/28/2025,18:27:14,88.56,1,4095,,,,
30.6,45.3,1.44,2047.5,4/28/2025,18:27:26,88.48,1,4095,,,,
30.61,45.33,1.45,2047.5,4/28/2025,18:27:38,88.39,1,4095,,,,
30.63,45.27,1.45,2047.5,4/28/2025,18:27:50,88.3,1,4095,,,,
30.62,45.33,1.45,2047.5,4/28/2025,18:28:02,88.22,1,4095,,,,
30.63,45.31,1.46,2047.5,4/28/2025,18:28:14,88.13,1,4095,,,,
30.63,45.33,1.46,2047.5,4/28/2025,18:28:26,88.05,1,4095,,,,
30.61,45.33,1.46,2047.5,4/28/2025,18:28:37,87.97,1,4095,,,,
